"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","DD263","DIGITAL DESIGN STUDIO I","001","92369","MR","1:00 PM - 5:20 PM"," ","Closed","11","11","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92369",""
"202590","DD263","DIGITAL DESIGN STUDIO I","003","92370","MR","1:00 PM - 5:20 PM"," ","Open","11","9","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92370",""
"202590","DD263","DIGITAL DESIGN STUDIO I","005","92371","MR","1:00 PM - 5:20 PM"," ","Open","11","3","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92371",""
"202590","DD275","HISTORY OF GAMES","007","92372","T","8:30 AM - 11:20 AM","CAMP 236C","Closed","18","18","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92372",""
"202590","DD275","HISTORY OF GAMES","101","92373","M","6:00 PM - 8:50 PM","CAMP 236H","Open","18","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92373",""
"202590","DD275","HISTORY OF GAMES","103","92374","R","6:00 PM - 8:50 PM","CAMP 236H","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92374",""
"202590","DD303","FOUNDATIONS OF SOUND AND MUSIC","001","92375","MR","10:00 AM - 11:20 AM","WEST 210","Open","40","15","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92375",""
"202590","DD334","SIMULATED ENVIRONMENTS","103","92376","R","6:00 PM - 8:50 PM","WEST 650","Closed","15","15","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92376",""
"202590","DD334","SIMULATED ENVIRONMENTS","105","92377","T","6:00 PM - 8:50 PM","WEST 650","Closed","15","15","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92377",""
"202590","DD363","DIGITAL DESIGN STUDIO III","001","92378","MR","1:00 PM - 5:20 PM","WEST 358","Closed","12","12","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92378",""
"202590","DD363","DIGITAL DESIGN STUDIO III","003","92379","MR","1:00 PM - 5:20 PM","WEST 358","Closed","12","12","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92379",""
"202590","DD363","DIGITAL DESIGN STUDIO III","005","96092","MR","1:00 PM - 5:20 PM","WEST 358","Open","12","3","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96092",""
"202590","DD443","2-DIMENSIONAL CHARACTER DESIGN","101","92381","T","6:00 PM - 8:50 PM"," ","Cancelled","18","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92381","Cancelled 03/17/25"
"202590","DD444","3-DIMENSIONAL CHARACTER DEVEL","101","92382","W","6:00 PM - 8:50 PM","CAMP 236H","Open","18","17","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92382",""
"202590","DD444","3-DIMENSIONAL CHARACTER DEVEL","103","96696","M","6:00 PM - 8:50 PM","WEST 650","Open","18","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96696",""
