"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N19","93376","M","8:30 AM - 11:20 AM","KUPF 118","Closed","0","0","Feknous, Mohammed","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93376",""
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N21","93377","F","8:30 AM - 11:20 AM","ECEC 115","Closed","0","0","Carpinelli, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93377",""
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N23","93378","F","8:30 AM - 11:20 AM","ECEC 115","Closed","0","0","Carpinelli, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93378",""
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N25","93379","M","8:30 AM - 11:20 AM","KUPF 118","Closed","0","0","Feknous, Mohammed","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93379",""
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N27","93380","T","8:30 AM - 11:20 AM","FMH 304","Closed","0","0","Raj, Ratna","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93380",""
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N41","93384","TR","1:00 PM - 2:20 PM","ME 219","Closed","0","0","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93384","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N43","93385","MW","1:00 PM - 2:20 PM","ME 219","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93385","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N45","93386","MW","11:30 AM - 12:50 PM","ME 219","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93386","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N47","93387","TF","4:00 PM - 5:20 PM","ME 219","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93387","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N49","93388","TR","2:30 PM - 3:50 PM","ME 219","Closed","0","0","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93388","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N51","93389","TR","10:00 AM - 11:20 AM","ME 219","Closed","0","0","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93389","ME Students Only"
"202590","FED101","MIE - FUNDAMENTALS OF ENGINEERING DESIGN - HONORS","HM1","93369","TR","1:00 PM - 2:20 PM","ME 219","Closed","0","0","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93369","Honors Course<br />ME Students Only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N01","93370","F","10:00 AM - 11:20 AM","KUPF 210","Closed","0","0","Barak Ventura, Roni","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93370","BME, CHE, CE, GEN, IE, MTEN majors only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N01","93370","M","2:30 PM - 3:50 PM","MALL PC40","Closed","0","0","Barak Ventura, Roni","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93370","BME, CHE, CE, GEN, IE, MTEN majors only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N03","93371","F","10:00 AM - 11:20 AM","KUPF 210","Closed","0","0","Barak Ventura, Roni","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93371","BME, CHE, CE, GEN, IE, MTEN majors only"
