"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","HRM301","ORGANIZATIONAL BEHAVIOR","001","93533","TR","1:00 PM - 2:20 PM","CAB 3052","Open","43","22","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93533",""
"202590","HRM301","ORGANIZATIONAL BEHAVIOR","003","93534","TR","10:00 AM - 11:20 AM","WEST LECT 1","Open","43","24","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93534",""
"202590","HRM301","ORGANIZATIONAL BEHAVIOR","451","93535","","TBA"," ","Closed","30","30","Casal, Jose","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93535","Online Course"
"202590","HRM301","ORGANIZATIONAL BEHAVIOR","453","93536","","TBA"," ","Closed","30","30","Casal, Jose","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93536","Online Course"
"202590","HRM301","ORGANIZATIONAL BEHAVIOR","455","95969","","TBA"," ","Open","30","7","Casal, Jose","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95969","Restricted for Online accelerated degree completion<br />Class meets first half of the semester"
"202590","HRM601","ORG BEHAVIOR IN TECH ORGS","001","93537","T","2:30 PM - 5:20 PM","CAB 3052","Open","43","4","Somers, Mark","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93537","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 09/2/25"
"202590","HRM601","ORG BEHAVIOR IN TECH ORGS","101","93538","M","6:00 PM - 8:50 PM","CAB 3052","Open","43","19","Casal, Jose","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93538","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 09/08/25"
"202590","HRM601","ORG BEHAVIOR IN TECH ORGS","851","93539","","TBA"," ","Open","30","11","Somers, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93539","Restricted to Virtual Campus Students Only<br />Online Course"
"202590","HRM601","ORG BEHAVIOR IN TECH ORGS","853","93540","","TBA"," ","Open","30","1","Somers, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93540","Restricted to Virtual Campus Students Only<br />Online Course"
"202590","HRM601","ORG BEHAVIOR IN TECH ORGS","855","93541","","TBA"," ","Open","30","4","Manyindo, Benjamin","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93541","Restricted to Newark Campus Students Only<br />Online Course"
"202590","HRM601","ORG BEHAVIOR IN TECH ORGS","857","93542","","TBA"," ","Open","30","18","Joseph, Miranda","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93542","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","HRM630","MANAGING TECH & ORG CHNG","101","93543","M","6:00 PM - 8:50 PM","CAB 3052","Open","43","10","Attallah, Paul","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93543","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting: 9/15/25"
"202590","HRM630","MANAGING TECH & ORG CHNG","851","93544","","TBA"," ","Open","30","18","Attallah, Paul","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93544","Restricted to Virtual Campus Students<br />Online Course"
