Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
ACCT115,001,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Monday,11:30:00,12:50:00
ACCT115,001,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
ACCT115,003,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Monday,10:00:00,11:20:00
ACCT115,003,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
ACCT115,005,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Monday,14:30:00,15:50:00
ACCT115,005,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
ACCT115,007,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
ACCT115,007,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
ACCT115,101,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
ACCT115,103,FUND OF FINANCIAL ACCOUNTING,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
ACCT117,001,PRINCIPLES OF FIN ACCOUNTNG,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
ACCT117,001,PRINCIPLES OF FIN ACCOUNTNG,Face-to-Face,3.0,Friday,13:00:00,14:20:00
ACCT117,003,PRINCIPLES OF FIN ACCOUNTNG,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
ACCT117,003,PRINCIPLES OF FIN ACCOUNTNG,Face-to-Face,3.0,Friday,10:00:00,11:20:00
ACCT117,101,PRINCIPLES OF FIN ACCOUNTNG,Face-to-Face,3.0,Monday,18:00:00,20:50:00
ACCT215,001,MANAGERIAL ACCOUNTING I,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
ACCT215,001,MANAGERIAL ACCOUNTING I,Face-to-Face,3.0,Thursday,08:30:00,09:50:00
ACCT215,003,MANAGERIAL ACCOUNTING I,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
ACCT215,003,MANAGERIAL ACCOUNTING I,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
ACCT325,001,INTERMEDIATE ACCOUNTING I,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
ACCT325,001,INTERMEDIATE ACCOUNTING I,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
ACCT403,451,FINANCIAL STATEMENT ANALYSIS,Online Newark,3.0,,,
ACCT415,101,AUDITING,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
ACCT425,101,TAX ACCOUNTING I,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
ACCT615,001,MANAGEMENT ACCOUNTING,Hybrid,3.0,Monday,14:30:00,17:20:00
ACCT615,101,MANAGEMENT ACCOUNTING,Hybrid,3.0,Tuesday,18:00:00,20:50:00
ACCT615,851,MANAGEMENT ACCOUNTING,Online Virtual,3.0,,,
ACCT615,853,MANAGEMENT ACCOUNTING,Online Newark,3.0,,,
ACCT615,855,MANAGEMENT ACCOUNTING,Online Virtual,3.0,,,
