Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
AD150,001,COLOR AND COMPOSITION,Face-to-Face,3.0,Monday,13:00:00,15:05:00
AD150,001,COLOR AND COMPOSITION,Face-to-Face,3.0,Monday,15:15:00,17:20:00
AD150,003,COLOR AND COMPOSITION,Face-to-Face,3.0,Monday,13:00:00,15:05:00
AD150,003,COLOR AND COMPOSITION,Face-to-Face,3.0,Monday,15:15:00,17:20:00
AD150,005,COLOR AND COMPOSITION,Face-to-Face,3.0,Wednesday,10:45:00,12:50:00
AD150,005,COLOR AND COMPOSITION,Face-to-Face,3.0,Wednesday,08:30:00,10:35:00
AD150,007,COLOR AND COMPOSITION,Face-to-Face,3.0,Wednesday,10:45:00,12:50:00
AD150,007,COLOR AND COMPOSITION,Face-to-Face,3.0,Wednesday,08:30:00,10:35:00
AD150,009,COLOR AND COMPOSITION,Face-to-Face,3.0,Wednesday,10:45:00,12:50:00
AD150,009,COLOR AND COMPOSITION,Face-to-Face,3.0,Wednesday,08:30:00,10:35:00
AD150,011,COLOR AND COMPOSITION,Face-to-Face,3.0,Thursday,10:45:00,12:50:00
AD150,011,COLOR AND COMPOSITION,Face-to-Face,3.0,Thursday,08:30:00,10:35:00
AD150,013,COLOR AND COMPOSITION,Face-to-Face,3.0,Thursday,10:45:00,12:50:00
AD150,013,COLOR AND COMPOSITION,Face-to-Face,3.0,Thursday,08:30:00,10:35:00
AD150,015,COLOR AND COMPOSITION,Face-to-Face,3.0,Thursday,10:45:00,12:50:00
AD150,015,COLOR AND COMPOSITION,Face-to-Face,3.0,Thursday,08:30:00,10:35:00
AD161,001,HISTORY OF ART AND DESIGN I,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
AD161,001,HISTORY OF ART AND DESIGN I,Face-to-Face,3.0,Friday,13:00:00,14:20:00
AD201,001,HUMAN FACTORS/ERGONOMICS,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
AD201,001,HUMAN FACTORS/ERGONOMICS,Face-to-Face,3.0,Thursday,08:30:00,09:50:00
AD261,001,HISTORY OF ARCHITECTURE,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
AD261,001,HISTORY OF ARCHITECTURE,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
AD261,HM1,HISTORY OF ARCHITECTURE- HONORS,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
AD261,HM1,HISTORY OF ARCHITECTURE- HONORS,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
AD463,001,COLLABORATIVE DESIGN STUDIO,Face-to-Face,5.0,Monday,13:00:00,17:20:00
AD463,001,COLLABORATIVE DESIGN STUDIO,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
AD463,003,COLLABORATIVE DESIGN STUDIO,Face-to-Face,5.0,Monday,13:00:00,17:20:00
AD463,003,COLLABORATIVE DESIGN STUDIO,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
AD463,005,COLLABORATIVE DESIGN STUDIO,Face-to-Face,5.0,Monday,13:00:00,17:20:00
AD463,005,COLLABORATIVE DESIGN STUDIO,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
AD463,007,COLLABORATIVE DESIGN STUDIO,Face-to-Face,5.0,Monday,13:00:00,17:20:00
AD463,007,COLLABORATIVE DESIGN STUDIO,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
AD490,003,ST: AI STORYCRAFT: VISUAL NARRATIVES WITH TEXT-TO-MAGIC,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
AD490,003,ST: AI STORYCRAFT: VISUAL NARRATIVES WITH TEXT-TO-MAGIC,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
AD490,103,ST: DESIGNING PROPOSALS THAT WIN: RFP MASTERY FOR ARCHITECTS AND INTERIOR DESIGNERS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
AD490,101,ST: DIGITAL CLOWNS: AI-DRIVEN MOTION CAPTURE,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
AD490,001,ST: THE DESIGN OF BRANDING,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
AD490,001,ST: THE DESIGN OF BRANDING,Face-to-Face,3.0,Friday,13:00:00,14:20:00
AD491,H03,INDEPENDENT STUDY - HONORS,Face-to-Face,1.0,,,
AD493,008,INDEPENDENT STUDY,Face-to-Face,3.0,,,
AD493,010,INDEPENDENT STUDY,Face-to-Face,3.0,,,
AD493,012,INDEPENDENT STUDY,Face-to-Face,3.0,,,
AD493,013,INDEPENDENT STUDY,Face-to-Face,3.0,,,
AD493,014,INDEPENDENT STUDY,Face-to-Face,3.0,,,
AD493,017,INDEPENDENT STUDY,Face-to-Face,3.0,,,
AD493,021,INDEPENDENT STUDY,Face-to-Face,3.0,,,
AD493,022,INDEPENDENT STUDY,Face-to-Face,3.0,,,
AD493,032,INDEPENDENT STUDY,Face-to-Face,3.0,,,
