Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
BDS725,613,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,870,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,874,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,879,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,881,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,882,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,885,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,886,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,889,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,891,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,893,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,894,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,895,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,896,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,897,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,898,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,899,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,931,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,933,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS725,943,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
BDS726,613,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
BDS726,893,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
BDS726,897,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
BDS790A,613,DOCTORAL DISSERTATION & RES,Face-to-Face,1.0,,,
BDS790A,881,DOCTORAL DISSERTATION & RES,Face-to-Face,1.0,,,
BDS790A,882,DOCTORAL DISSERTATION & RES,Face-to-Face,1.0,,,
BDS790A,893,DOCTORAL DISSERTATION & RES,Face-to-Face,1.0,,,
BDS790A,894,DOCTORAL DISSERTATION & RES,Face-to-Face,1.0,,,
BDS790A,896,DOCTORAL DISSERTATION & RES,Face-to-Face,1.0,,,
BDS790A,897,DOCTORAL DISSERTATION & RES,Face-to-Face,1.0,,,
BDS790A,899,DOCTORAL DISSERTATION & RES,Face-to-Face,1.0,,,
BDS790A,931,DOCTORAL DISSERTATION & RES,Face-to-Face,1.0,,,
BDS791,001,DOCTORAL SEMINAR,Face-to-Face,0.0,Wednesday,13:00:00,14:20:00
BDS792B,613,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
BDS792B,881,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
BDS792B,882,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
BDS792B,885,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
BDS792B,893,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
BDS792B,894,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
BDS792B,895,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
BDS792B,897,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
BDS792B,898,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
BDS792B,931,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
