Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
BIOL200,001,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Thursday,11:30:00,12:50:00
BIOL200,001,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Tuesday,10:00:00,11:20:00
BIOL200,001,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Thursday,10:00:00,11:20:00
BIOL200,003,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Friday,10:00:00,11:20:00
BIOL200,003,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Tuesday,10:00:00,11:20:00
BIOL200,003,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Thursday,10:00:00,11:20:00
BIOL200,005,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Thursday,14:30:00,15:50:00
BIOL200,005,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Tuesday,10:00:00,11:20:00
BIOL200,005,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Thursday,10:00:00,11:20:00
BIOL200,007,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Friday,08:30:00,09:50:00
BIOL200,007,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Tuesday,10:00:00,11:20:00
BIOL200,007,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Thursday,10:00:00,11:20:00
BIOL200,009,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Friday,14:30:00,15:50:00
BIOL200,009,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Tuesday,10:00:00,11:20:00
BIOL200,009,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Thursday,10:00:00,11:20:00
BIOL200,011,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Thursday,13:00:00,14:20:00
BIOL200,011,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Tuesday,10:00:00,11:20:00
BIOL200,011,CONCEPTS IN BIOLOGY,Face-to-Face,4.0,Thursday,10:00:00,11:20:00
BIOL200,H01,CONCEPTS IN BIOLOGY - HONORS,Face-to-Face,4.0,Friday,16:00:00,17:20:00
BIOL200,H01,CONCEPTS IN BIOLOGY - HONORS,Face-to-Face,4.0,Wednesday,13:00:00,14:20:00
BIOL200,H01,CONCEPTS IN BIOLOGY - HONORS,Face-to-Face,4.0,Friday,13:00:00,14:20:00
BIOL200,H03,CONCEPTS IN BIOLOGY - HONORS,Face-to-Face,4.0,Monday,14:30:00,15:50:00
BIOL200,H03,CONCEPTS IN BIOLOGY - HONORS,Face-to-Face,4.0,Wednesday,13:00:00,14:20:00
BIOL200,H03,CONCEPTS IN BIOLOGY - HONORS,Face-to-Face,4.0,Friday,13:00:00,14:20:00
BIOL201,001,FOUND OF BIOL: CELL & MOLECULA,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
BIOL201,001,FOUND OF BIOL: CELL & MOLECULA,Face-to-Face,3.0,Friday,13:00:00,14:20:00
BIOL201,H01,FOUND OF BIOL: CELL & MOLECULA- HONORS,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
BIOL201,H01,FOUND OF BIOL: CELL & MOLECULA- HONORS,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
BIOL202,001,FOUND OF BIOL: CELL & MOLECULA,Face-to-Face,1.0,Monday,08:30:00,11:20:00
BIOL202,003,FOUND OF BIOL: CELL & MOLECULA,Face-to-Face,1.0,Wednesday,11:30:00,14:20:00
BIOL202,005,FOUND OF BIOL: CELL & MOLECULA,Face-to-Face,1.0,Thursday,13:00:00,15:50:00
BIOL202,101,FOUND OF BIOL: CELL & MOLECULA,Face-to-Face,1.0,Thursday,18:00:00,20:50:00
BIOL205,001,FOUND OF BIO:ECOL & EVOL I,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
BIOL205,001,FOUND OF BIO:ECOL & EVOL I,Face-to-Face,3.0,Friday,08:30:00,09:50:00
BIOL206,001,FOUND OF BIO:ECOL & EVOL LAB,Face-to-Face,1.0,Thursday,11:30:00,14:20:00
BIOL206,003,FOUND OF BIO:ECOL & EVOL LAB,Face-to-Face,1.0,Monday,08:30:00,11:20:00
BIOL206,005,FOUND OF BIO:ECOL & EVOL LAB,Face-to-Face,1.0,Wednesday,11:30:00,14:20:00
BIOL206,101,FOUND OF BIO:ECOL & EVOL LAB,Face-to-Face,1.0,Monday,18:00:00,20:50:00
BIOL310,745,WORK EXPERIENCE I,Face-to-Face,3.0,,,
BIOL315,001,PRINCIPLES OF NEUROBIOLOGY,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
