Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
BME111,001,INTRODUCTION TO PHYSIOLOGY,Face-to-Face,3.0,Monday,08:30:00,09:50:00
BME111,001,INTRODUCTION TO PHYSIOLOGY,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
BME210,001,PROCESSING FUND FOR BIOL SIGNA,Face-to-Face,3.0,Wednesday,10:00:00,12:50:00
BME210,003,PROCESSING FUND FOR BIOL SIGNA,Face-to-Face,3.0,Thursday,14:30:00,17:20:00
BME301,001,INTRO BIOMEDICAL ENGINEERING I,Face-to-Face,3.0,Friday,14:30:00,16:35:00
BME301,001,INTRO BIOMEDICAL ENGINEERING I,Face-to-Face,3.0,Tuesday,14:30:00,16:35:00
BME301,003,INTRO BIOMEDICAL ENGINEERING I,Face-to-Face,3.0,Friday,14:30:00,16:35:00
BME301,003,INTRO BIOMEDICAL ENGINEERING I,Face-to-Face,3.0,Tuesday,14:30:00,16:35:00
BME301,HM1,INTRO BIOMEDICAL ENGINEERING I - HONORS,Face-to-Face,3.0,Friday,14:30:00,16:35:00
BME301,HM1,INTRO BIOMEDICAL ENGINEERING I - HONORS,Face-to-Face,3.0,Tuesday,14:30:00,16:35:00
BME302,001,INTRO BIOMED ENGR II,Face-to-Face,3.0,Monday,10:00:00,12:05:00
BME302,001,INTRO BIOMED ENGR II,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
BME302,001,INTRO BIOMED ENGR II,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
BME302,003,INTRO BIOMED ENGR II,Face-to-Face,3.0,Monday,10:00:00,12:05:00
BME302,003,INTRO BIOMED ENGR II,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
BME302,003,INTRO BIOMED ENGR II,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
BME302,HM1,INTRO BIOMED ENGR II - HONORS,Face-to-Face,3.0,Monday,10:00:00,12:05:00
BME302,HM1,INTRO BIOMED ENGR II - HONORS,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
BME302,HM1,INTRO BIOMED ENGR II - HONORS,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
BME303,001,BIO & CHEMICAL FOUND OF BME,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
BME303,001,BIO & CHEMICAL FOUND OF BME,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
BME304,101,MATERIAL FUNDAMENTALS OF BME,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
BME304,HM1,MATERIAL FUNDAMENTALS OF BME - HONORS,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
