Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
CET313,001,HEAVY HIGHWAY CONSTRUCTION,Face-to-Face,3.0,Monday,10:00:00,12:05:00
CET313,001,HEAVY HIGHWAY CONSTRUCTION,Face-to-Face,3.0,Thursday,10:00:00,12:05:00
CET313,101,HEAVY HIGHWAY CONSTRUCTION,Face-to-Face,3.0,Tuesday,18:00:00,22:05:00
CET317,001,CONSTRUCTION COMPUTING,Face-to-Face,3.0,Friday,14:30:00,16:35:00
CET317,001,CONSTRUCTION COMPUTING,Face-to-Face,3.0,Tuesday,10:00:00,12:05:00
CET317,101,CONSTRUCTION COMPUTING,Face-to-Face,3.0,Wednesday,18:00:00,22:05:00
CET322,001,CONSTRUCTN REGS & STANDA,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
CET322,001,CONSTRUCTN REGS & STANDA,Face-to-Face,3.0,Friday,08:30:00,09:50:00
CET322,101,CONSTRUCTN REGS & STANDA,Face-to-Face,3.0,Friday,18:00:00,22:05:00
CET331,101,STRUCTURAL SYSTEMS,Face-to-Face,3.0,Monday,18:00:00,22:05:00
CET331,101,STRUCTURAL SYSTEMS,Face-to-Face,3.0,Monday,18:00:00,19:55:00
CET411,001,COST ESTIMATING,Face-to-Face,3.0,Tuesday,10:00:00,12:05:00
CET411,001,COST ESTIMATING,Face-to-Face,3.0,Thursday,10:00:00,12:05:00
CET411,101,COST ESTIMATING,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CET415,001,CONTRUCTN PROJ MANAGEMNT,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
CET415,001,CONTRUCTN PROJ MANAGEMNT,Face-to-Face,3.0,Friday,13:00:00,14:20:00
CET415,101,CONTRUCTN PROJ MANAGEMNT,Face-to-Face,3.0,Monday,18:00:00,20:50:00
CET421,101,CONSTRUCTION CONTRACTS,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
CET423,001,CONSTRUCTION SAFETY,Face-to-Face,3.0,Tuesday,14:30:00,16:35:00
CET423,001,CONSTRUCTION SAFETY,Face-to-Face,3.0,Thursday,14:30:00,16:35:00
CET431,101,CONSTRUCTION TESTING,Face-to-Face,3.0,Thursday,18:00:00,19:55:00
CET431,101,CONSTRUCTION TESTING,Face-to-Face,3.0,Thursday,20:05:00,22:00:00
CET490,352,SPECIAL PROJECT,Face-to-Face,3.0,,,
CET491,352,SPECIAL PROJECTS,Face-to-Face,1.0,,,
CET492,352,SPECIAL PROJECTS,Face-to-Face,2.0,,,
CET493,352,SPECIAL PROJECTS,Face-to-Face,3.0,,,
CET497,352,CO-OP INTERNSHIP,Face-to-Face,3.0,,,
