Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
CE100,001,INTRODUCTION TO CIVIL ENGINEER,Face-to-Face,1.0,Monday,10:00:00,11:00:00
CE100,001,INTRODUCTION TO CIVIL ENGINEER,Face-to-Face,1.0,Wednesday,10:00:00,11:00:00
CE100,003,INTRODUCTION TO CIVIL ENGINEER,Face-to-Face,1.0,Monday,13:00:00,15:05:00
CE101,001,CE COMPUTER AIDED DESIGN,Hybrid,1.0,Thursday,12:15:00,14:20:00
CE200,101,SURVEYING,Hybrid,2.0,Thursday,18:00:00,20:50:00
CE200A,001,SURVEYING LAB,Hybrid,1.0,Thursday,10:00:00,12:50:00
CE200A,001,SURVEYING LAB,Hybrid,1.0,,,
CE200A,003,SURVEYING LAB,Hybrid,1.0,Thursday,13:00:00,15:50:00
CE200A,003,SURVEYING LAB,Hybrid,1.0,,,
CE200A,101,SURVEYING LAB,Hybrid,1.0,Saturday,09:00:00,11:50:00
CE200A,101,SURVEYING LAB,Hybrid,1.0,,,
CE200A,103,SURVEYING LAB,Hybrid,1.0,Saturday,13:00:00,15:50:00
CE200A,103,SURVEYING LAB,Hybrid,1.0,,,
CE210,001,CONSTRN MATRLS & PROCDRS,Face-to-Face,3.0,Monday,08:30:00,09:50:00
CE210,001,CONSTRN MATRLS & PROCDRS,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
CE210,003,CONSTRN MATRLS & PROCDRS,Face-to-Face,3.0,Monday,10:00:00,11:20:00
CE210,003,CONSTRN MATRLS & PROCDRS,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
CE210,101,CONSTRN MATRLS & PROCDRS,Face-to-Face,3.0,Friday,18:00:00,20:50:00
CE260,001,CIVIL ENGINEERNG METHODS,Hybrid,1.0,Monday,10:00:00,12:50:00
CE260,003,CIVIL ENGINEERNG METHODS,Hybrid,1.0,Tuesday,14:30:00,17:20:00
CE260,101,CIVIL ENGINEERNG METHODS,Hybrid,1.0,Tuesday,18:00:00,20:50:00
CE260,103,CIVIL ENGINEERNG METHODS,Hybrid,1.0,Friday,18:00:00,20:50:00
CE260,HM1,CIVIL ENGINEERNG METHODS-HONORS,Hybrid,1.0,Tuesday,18:00:00,20:50:00
CE307,001,GEOMETRC DGN FOR HIGHWAY,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
CE320,001,FLUID MECHANICS,Face-to-Face,3.0,Tuesday,11:30:00,13:35:00
CE320,001,FLUID MECHANICS,Face-to-Face,3.0,Thursday,11:30:00,13:35:00
CE320,003,FLUID MECHANICS,Face-to-Face,3.0,Monday,11:30:00,13:35:00
CE320,003,FLUID MECHANICS,Face-to-Face,3.0,Wednesday,11:30:00,13:35:00
CE320,101,FLUID MECHANICS,Face-to-Face,3.0,Tuesday,18:00:00,22:05:00
CE320,HM1,FLUID MECHANICS - HONORS,Face-to-Face,3.0,Tuesday,18:00:00,22:05:00
CE320A,001,HYDRAULICS LABORATORY,Face-to-Face,1.0,Thursday,13:00:00,15:50:00
CE320A,101,HYDRAULICS LABORATORY,Face-to-Face,1.0,Wednesday,18:00:00,20:50:00
CE320A,103,HYDRAULICS LABORATORY,Face-to-Face,1.0,Friday,18:00:00,20:50:00
CE320A,105,HYDRAULICS LABORATORY,Face-to-Face,1.0,Monday,18:00:00,20:50:00
CE321,001,WATER RESOURCES ENGR,Hybrid,2.0,Tuesday,14:30:00,15:50:00
CE321,001,WATER RESOURCES ENGR,Hybrid,2.0,Thursday,14:30:00,15:50:00
CE321,101,WATER RESOURCES ENGR,Hybrid,2.0,Tuesday,18:00:00,20:50:00
CE322,001,HYDRAULIC ENGINEERING,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
CE322,001,HYDRAULIC ENGINEERING,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
CE332,001,STRUCTURAL ANALYSIS,Face-to-Face,3.0,Monday,13:00:00,14:20:00
CE332,001,STRUCTURAL ANALYSIS,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
CE332,101,STRUCTURAL ANALYSIS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
CE333,001,REINFORCED CONCRETE DESIGN,Face-to-Face,2.0,Tuesday,13:00:00,14:20:00
CE333,001,REINFORCED CONCRETE DESIGN,Face-to-Face,2.0,Thursday,13:00:00,14:20:00
CE333,003,REINFORCED CONCRETE DESIGN,Face-to-Face,2.0,Monday,11:30:00,12:50:00
CE333,003,REINFORCED CONCRETE DESIGN,Face-to-Face,2.0,Wednesday,11:30:00,12:50:00
CE333,101,REINFORCED CONCRETE DESIGN,Face-to-Face,2.0,Friday,18:00:00,20:50:00
CE341,101,GEOTECHNICAL ENGINEERING,Face-to-Face,3.0,Monday,18:00:00,20:50:00
CE341A,001,GEOTECHNICAL ENGINEERING LAB,Face-to-Face,1.0,Wednesday,08:30:00,11:20:00
CE341A,003,GEOTECHNICAL ENGINEERING LAB,Face-to-Face,1.0,Friday,08:30:00,11:20:00
CE341A,101,GEOTECHNICAL ENGINEERING LAB,Face-to-Face,1.0,Friday,18:00:00,20:50:00
CE342,001,GEOLOGY,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
CE342,001,GEOLOGY,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
CE342,003,GEOLOGY,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
CE342,003,GEOLOGY,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
CE342,101,GEOLOGY,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CE350,101,TRANSPORTATION ENGR,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
CE350,103,TRANSPORTATION ENGR,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CE350,HM1,TRANSPORTATION ENGR - HONORS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
CE360,003,CIVIL ENGINEERING  MATERIALS,Face-to-Face,2.0,Thursday,11:30:00,12:50:00
CE360,003,CIVIL ENGINEERING  MATERIALS,Face-to-Face,2.0,Tuesday,11:30:00,12:50:00
CE360,101,CIVIL ENGINEERING  MATERIALS,Face-to-Face,2.0,Wednesday,18:00:00,20:50:00
CE360,103,CIVIL ENGINEERING  MATERIALS,Face-to-Face,2.0,Thursday,18:00:00,20:50:00
CE410,101,CONSTR SCHEDLNG/ESTIMTNG,Face-to-Face,3.0,Monday,18:00:00,20:50:00
CE414,001,ENGINEERED CONSTRUCTION,Face-to-Face,3.0,Friday,14:30:00,17:20:00
CE431,001,CONTRUCTION MATERIALS LAB,Face-to-Face,1.0,Thursday,11:30:00,14:20:00
CE431,101,CONTRUCTION MATERIALS LAB,Face-to-Face,1.0,Monday,18:00:00,20:50:00
CE431,103,CONTRUCTION MATERIALS LAB,Face-to-Face,1.0,Friday,18:00:00,20:50:00
CE432,001,STEEL DESIGN,Face-to-Face,2.0,Tuesday,14:30:00,15:50:00
CE432,001,STEEL DESIGN,Face-to-Face,2.0,Thursday,14:30:00,15:50:00
CE432,101,STEEL DESIGN,Face-to-Face,2.0,Tuesday,18:00:00,20:50:00
CE432,103,STEEL DESIGN,Face-to-Face,2.0,Friday,18:00:00,20:50:00
CE443,001,FOUNDATION ENGINEERING DESIGN,Face-to-Face,3.0,Monday,14:30:00,15:50:00
CE443,001,FOUNDATION ENGINEERING DESIGN,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
CE443,101,FOUNDATION ENGINEERING DESIGN,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
CE461,101,PROFESSIONAL PRACTICE IN CEE,Face-to-Face,3.0,Monday,18:00:00,20:50:00
CE485,001,ST: BUILT ENVIRONMENT INFORMATION MODELING AND PROCESSING,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
CE485,001,ST: BUILT ENVIRONMENT INFORMATION MODELING AND PROCESSING,Face-to-Face,3.0,Friday,10:00:00,11:20:00
CE485,103,ST: CE LEADERSHIP OF PROJECT EXECUTION,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CE485,101,ST: MACHINE LEARNING AND DATA ANALYTICS FOR CIVIL ENGINEERING SYSTEMS,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CE485,003,ST: OSHA IN CIVIL ENGINEERING,Face-to-Face,3.0,Monday,11:30:00,12:50:00
CE485,003,ST: OSHA IN CIVIL ENGINEERING,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
CE485,H03,ST: URBAN TRANSPORTATION NETWORKS-HONORS,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CE490,181,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,182,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,187,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,191,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,192,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,194,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,196,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,197,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,198,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,200,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,202,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,203,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,204,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,205,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,206,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,210,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,211,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,213,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,214,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,216,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,218,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,219,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,350,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE490,882,CIVIL ENGR PROJECTS,Face-to-Face,3.0,,,
CE491,181,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,182,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,187,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,191,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,192,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,194,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,196,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,197,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,198,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,200,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,202,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,203,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,204,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,205,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,206,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,210,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,211,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,213,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,214,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,216,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,218,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,219,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,350,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE491,882,RESEARCH EXPER-CIVIL ENGR,Face-to-Face,3.0,,,
CE494,101,CIVIL ENGR DESIGN I,Face-to-Face,3.0,Saturday,09:00:00,11:50:00
CE494,103,CIVIL ENGR DESIGN I,Face-to-Face,3.0,Monday,18:00:00,20:50:00
CE494,105,CIVIL ENGR DESIGN I,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
CE494,HM1,CIVIL ENGR DESIGN I - HONORS,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
CE495,001,CIVIL ENGR DESIGN II,Face-to-Face,3.0,Monday,11:30:00,12:50:00
CE495,001,CIVIL ENGR DESIGN II,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
CE495,101,CIVIL ENGR DESIGN II,Face-to-Face,3.0,Friday,18:00:00,20:50:00
CE495,HM1,CIVIL ENGR DESIGN II,Face-to-Face,3.0,Friday,18:00:00,20:50:00
CE590,194,GRAD COOP WORK EXPERIENCE I,Face-to-Face,1.0,,,
CE590,211,GRAD COOP WORK EXPERIENCE I,Face-to-Face,1.0,,,
CE590,213,GRAD COOP WORK EXPERIENCE I,Face-to-Face,1.0,,,
CE591,194,GRAD COOP WORK EXPERIENCE II,Face-to-Face,1.0,,,
CE591,211,GRAD COOP WORK EXPERIENCE II,Face-to-Face,1.0,,,
CE591,213,GRAD COOP WORK EXPERIENCE II,Face-to-Face,1.0,,,
CE610,101,CONSTRUCTION MGT,Face-to-Face,3.0,Friday,18:00:00,20:50:00
CE610,103,CONSTRUCTION MGT,Face-to-Face,3.0,,,
CE610,851,CONSTRUCTION MGT,Online Newark,3.0,,,
CE610,853,CONSTRUCTION MGT,Online Virtual,3.0,,,
CE611,851,PROJ PLANNING & CONTROL,Online Virtual,3.0,,,
CE611,853,PROJ PLANNING & CONTROL,Online Newark,3.0,,,
CE612,101,APPLIED ML CIVIL ENGINEERING,,3.0,Tuesday,18:00:00,20:50:00
CE612,852,APPLIED ML CIVIL ENGINEERING,Online Virtual,3.0,,,
CE614,851,UNDERGROUND CONSTRUCTION,Online Virtual,3.0,,,
CE615,851,INFRASTRUCTURE & FAC REM,Online Virtual,3.0,,,
CE616,101,CONSTRUCTION COST ESTMT,Face-to-Face,3.0,Monday,18:00:00,20:50:00
CE616,851,CONSTRUCTION COST ESTMT,Online Virtual,3.0,,,
CE621,101,HYDROLOGY,Online Virtual,3.0,Tuesday,18:00:00,20:50:00
CE631,101,ADV REINFRCD CONCRTE DSN,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
CE632,101,PRESTRESSED CONCRETE DSN,Face-to-Face,3.0,Friday,18:00:00,20:50:00
CE635,101,FRACTURE MECH MATERIALS,Face-to-Face,3.0,Monday,18:00:00,20:50:00
CE636,851,MECH & STABILITY OF STRUCTURES,Online Virtual,3.0,,,
CE642,851,FOUNDATION ENGINEERING,Online Virtual,3.0,,,
CE644,101,APPLIED ENGINEERING GEOLOGY,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CE645,101,ROCK MECHANICS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
CE645,103,ROCK MECHANICS,Face-to-Face,3.0,Monday,18:00:00,20:50:00
CE648,101,FLOW THROUGH SOILS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
CE700B,181,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,182,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,187,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,191,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,192,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,194,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,196,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,197,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,198,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,199,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,200,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,202,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,203,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,204,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,205,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,206,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,210,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,211,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,213,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,214,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,216,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,219,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,350,MASTERS PROJECT,Face-to-Face,3.0,,,
CE700B,882,MASTERS PROJECT,Face-to-Face,3.0,,,
CE701B,181,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,182,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,187,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,188,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,189,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,191,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,192,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,193,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,194,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,196,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,197,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,198,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,199,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,200,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,202,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,203,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,204,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,205,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,206,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,211,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,213,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,214,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,216,MASTER'S THESIS,Face-to-Face,3.0,,,
CE701B,217,MASTER'S THESIS,Face-to-Face,3.0,,,
