Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
CHE101,001,INTRO TO CHEMICAL ENGINEERING,Face-to-Face,1.0,Thursday,16:00:00,17:00:00
CHE201,001,MATERIAL AND ENERGY BALANCES,Face-to-Face,4.0,Monday,08:30:00,11:20:00
CHE201,001,MATERIAL AND ENERGY BALANCES,Face-to-Face,4.0,Wednesday,08:30:00,10:35:00
CHE230,001,CHEM ENGINEER THERMODYNAMICS I,Face-to-Face,3.0,Thursday,13:00:00,15:05:00
CHE230,001,CHEM ENGINEER THERMODYNAMICS I,Face-to-Face,3.0,Tuesday,13:00:00,15:05:00
CHE260,001,FLUID FLOW,Face-to-Face,3.0,Tuesday,13:00:00,15:05:00
CHE260,001,FLUID FLOW,Face-to-Face,3.0,Thursday,13:00:00,15:05:00
CHE312,001,CHEMICAL PROCESS SAFETY,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
CHE312,001,CHEMICAL PROCESS SAFETY,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
CHE312,HM1,CHEMICAL PROCESS SAFETY - HONORS,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
CHE312,HM1,CHEMICAL PROCESS SAFETY - HONORS,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
CHE342,001,CHEM ENG THERMODYNAM II,Face-to-Face,3.0,Monday,13:00:00,14:20:00
CHE342,001,CHEM ENG THERMODYNAM II,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
CHE342,HM1,CHEM ENG THERMODYNAM II - HONORS,Face-to-Face,3.0,Monday,13:00:00,14:20:00
CHE342,HM1,CHEM ENG THERMODYNAM II - HONORS,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
CHE349,001,KINETICS & REACTOR DESGN,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
CHE349,001,KINETICS & REACTOR DESGN,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
CHE360,001,SEPARATION PROCESSES I,Face-to-Face,3.0,Tuesday,08:30:00,10:35:00
CHE360,001,SEPARATION PROCESSES I,Face-to-Face,3.0,Thursday,08:30:00,10:35:00
CHE365,101,CHEMICAL ENGR COMPUTING,Face-to-Face,3.0,Wednesday,18:00:00,22:05:00
CHE370,001,HEAT AND MASS TRANSFER,Face-to-Face,4.0,Tuesday,14:30:00,16:35:00
CHE370,001,HEAT AND MASS TRANSFER,Face-to-Face,4.0,Thursday,14:30:00,16:35:00
CHE415,001,INTRODUCTION TO 3D PRINTING,Face-to-Face,3.0,Tuesday,10:00:00,12:05:00
CHE415,001,INTRODUCTION TO 3D PRINTING,Face-to-Face,3.0,Thursday,10:00:00,12:05:00
CHE472,001,PROCESS & PLANT DESIGN,Face-to-Face,4.0,Tuesday,16:00:00,17:55:00
CHE472,001,PROCESS & PLANT DESIGN,Face-to-Face,4.0,Thursday,16:00:00,17:55:00
CHE472,HM1,PROCESS & PLANT DESIGN - HONORS,Face-to-Face,4.0,Tuesday,16:00:00,17:55:00
CHE472,HM1,PROCESS & PLANT DESIGN - HONORS,Face-to-Face,4.0,Thursday,16:00:00,17:55:00
CHE489,001,PROCESS DYNAMICS AND CONTROL,Face-to-Face,3.0,Tuesday,13:00:00,15:05:00
