Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
CIM101,001,INTRO TO THE CONCRETE INDUSTRY,,3.0,Monday,10:00:00,12:05:00
CIM101,001,INTRO TO THE CONCRETE INDUSTRY,,3.0,Wednesday,10:00:00,12:05:00
CIM101,101,INTRO TO THE CONCRETE INDUSTRY,,3.0,Monday,18:00:00,19:55:00
CIM101,101,INTRO TO THE CONCRETE INDUSTRY,,3.0,Monday,20:05:00,22:00:00
CIM205,101,CONCRETE PROPERTIES & TESTING,,3.0,Friday,18:00:00,19:55:00
CIM205,101,CONCRETE PROPERTIES & TESTING,,3.0,Friday,20:05:00,22:00:00
CIM210,101,CONCRETE APPLICATIONS,Face-to-Face,3.0,Wednesday,18:00:00,19:55:00
CIM210,101,CONCRETE APPLICATIONS,Face-to-Face,3.0,Wednesday,20:05:00,22:00:00
CIM310,101,CONCRETE PRODUCTS AND DELIVERY,Face-to-Face,3.0,Thursday,18:00:00,19:55:00
CIM310,101,CONCRETE PRODUCTS AND DELIVERY,Face-to-Face,3.0,Thursday,20:05:00,22:00:00
CIM405,101,ADV CONCRETE TESTING QUAL ASSR,Face-to-Face,3.0,Thursday,18:00:00,19:55:00
CIM405,101,ADV CONCRETE TESTING QUAL ASSR,Face-to-Face,3.0,Thursday,20:05:00,22:00:00
CIM491,344,SPECIAL PROJECT IN CIM,Face-to-Face,1.0,,,
CIM492,344,SPECIAL PROJECT IN CIM,Face-to-Face,2.0,,,
CIM493,344,INDEPENDENT STUDY,Face-to-Face,3.0,,,
CIM497,344,COOP WORK EXPERIENCE I,Face-to-Face,3.0,,,
