Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
CS100,001,ROADMAP TO COMPUTING,Face-to-Face,3.0,Monday,10:00:00,11:20:00
CS100,001,ROADMAP TO COMPUTING,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
CS100,003,ROADMAP TO COMPUTING,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
CS100,003,ROADMAP TO COMPUTING,Face-to-Face,3.0,Friday,14:30:00,15:50:00
CS100,005,ROADMAP TO COMPUTING,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
CS100,005,ROADMAP TO COMPUTING,Face-to-Face,3.0,Friday,13:00:00,14:20:00
CS100,007,ROADMAP TO COMPUTING,Face-to-Face,3.0,Monday,10:00:00,11:20:00
CS100,007,ROADMAP TO COMPUTING,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
CS100,009,ROADMAP TO COMPUTING,Face-to-Face,3.0,Monday,14:30:00,15:50:00
CS100,009,ROADMAP TO COMPUTING,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
CS100,011,ROADMAP TO COMPUTING,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
CS100,011,ROADMAP TO COMPUTING,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
CS100,013,ROADMAP TO COMPUTING,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
CS100,013,ROADMAP TO COMPUTING,Face-to-Face,3.0,Friday,08:30:00,09:50:00
CS100,015,ROADMAP TO COMPUTING,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
CS100,015,ROADMAP TO COMPUTING,Face-to-Face,3.0,Friday,10:00:00,11:20:00
CS100,017,ROADMAP TO COMPUTING,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
CS100,017,ROADMAP TO COMPUTING,Face-to-Face,3.0,Friday,13:00:00,14:20:00
CS100,019,ROADMAP TO COMPUTING,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
CS100,019,ROADMAP TO COMPUTING,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
CS100,021,ROADMAP TO COMPUTING,Face-to-Face,3.0,Monday,08:30:00,09:50:00
CS100,021,ROADMAP TO COMPUTING,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
CS100,023,ROADMAP TO COMPUTING,Face-to-Face,3.0,Monday,11:30:00,12:50:00
CS100,023,ROADMAP TO COMPUTING,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
CS100,025,ROADMAP TO COMPUTING,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
CS100,025,ROADMAP TO COMPUTING,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
CS100,027,ROADMAP TO COMPUTING,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
CS100,027,ROADMAP TO COMPUTING,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
CS100,101,ROADMAP TO COMPUTING,Face-to-Face,3.0,Monday,18:00:00,20:50:00
CS100,H01,ROADMAP TO COMPUTING - HONORS,Face-to-Face,3.0,Monday,08:30:00,09:50:00
CS100,H01,ROADMAP TO COMPUTING - HONORS,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
CS100,H03,ROADMAP TO COMPUTING - HONORS,Face-to-Face,3.0,Monday,08:30:00,09:50:00
CS100,H03,ROADMAP TO COMPUTING - HONORS,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
CS100,H05,ROADMAP TO COMPUTING - HONORS,Face-to-Face,3.0,Monday,14:30:00,15:50:00
CS100,H05,ROADMAP TO COMPUTING - HONORS,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
CS101,001,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
CS101,001,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
CS101,003,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Monday,08:30:00,09:50:00
CS101,003,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
CS101,005,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
CS101,005,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
CS101,007,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
CS101,007,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Friday,13:00:00,14:20:00
CS101,009,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
CS101,009,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Thursday,08:30:00,09:50:00
CS101,101,COMP PROG & PROB SOLVING,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CS103,001,COMPUT SCI-BUSINESS PROB,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
CS103,001,COMPUT SCI-BUSINESS PROB,Face-to-Face,3.0,Friday,14:30:00,15:50:00
CS104,001,COMPUT PROG & GRAPH PROB,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
CS104,001,COMPUT PROG & GRAPH PROB,Face-to-Face,3.0,Friday,10:00:00,11:20:00
CS104,003,COMPUT PROG & GRAPH PROB,Face-to-Face,3.0,Monday,10:00:00,11:20:00
CS104,003,COMPUT PROG & GRAPH PROB,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
CS104,005,COMPUT PROG & GRAPH PROB,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
CS104,005,COMPUT PROG & GRAPH PROB,Face-to-Face,3.0,Friday,16:00:00,17:20:00
CS104,007,COMPUT PROG & GRAPH PROB,Face-to-Face,3.0,Monday,14:30:00,15:50:00
CS104,007,COMPUT PROG & GRAPH PROB,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
CS106,001,INTRO TO COMPUTING,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
CS106,001,INTRO TO COMPUTING,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
CS106,003,INTRO TO COMPUTING,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
CS106,003,INTRO TO COMPUTING,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
CS106,005,INTRO TO COMPUTING,Face-to-Face,3.0,Monday,11:30:00,12:50:00
CS106,005,INTRO TO COMPUTING,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
CS106,007,INTRO TO COMPUTING,Face-to-Face,3.0,Monday,10:00:00,11:20:00
CS106,007,INTRO TO COMPUTING,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
CS106,009,INTRO TO COMPUTING,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
CS106,009,INTRO TO COMPUTING,Face-to-Face,3.0,Friday,13:00:00,14:20:00
CS106,011,INTRO TO COMPUTING,Face-to-Face,3.0,Monday,11:30:00,12:50:00
CS106,011,INTRO TO COMPUTING,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
CS106,105,INTRO TO COMPUTING,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CS113,001,INTRO COMPUTER SCI I,Face-to-Face,3.0,Monday,13:00:00,14:20:00
CS113,001,INTRO COMPUTER SCI I,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
CS113,003,INTRO COMPUTER SCI I,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
CS113,003,INTRO COMPUTER SCI I,Face-to-Face,3.0,Friday,08:30:00,09:50:00
CS113,005,INTRO COMPUTER SCI I,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
CS113,005,INTRO COMPUTER SCI I,Face-to-Face,3.0,Friday,10:00:00,11:20:00
CS113,101,INTRO COMPUTER SCI I,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
CS113,103,INTRO COMPUTER SCI I,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
CS114,001,INTRO TO COMPUTER SCIENCE II,Face-to-Face,3.0,Friday,14:30:00,17:20:00
