Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
DD263,001,DIGITAL DESIGN STUDIO I,Face-to-Face,4.0,Monday,13:00:00,17:20:00
DD263,001,DIGITAL DESIGN STUDIO I,Face-to-Face,4.0,Thursday,13:00:00,17:20:00
DD263,003,DIGITAL DESIGN STUDIO I,Face-to-Face,4.0,Monday,13:00:00,17:20:00
DD263,003,DIGITAL DESIGN STUDIO I,Face-to-Face,4.0,Thursday,13:00:00,17:20:00
DD263,005,DIGITAL DESIGN STUDIO I,Face-to-Face,4.0,Monday,13:00:00,17:20:00
DD263,005,DIGITAL DESIGN STUDIO I,Face-to-Face,4.0,Thursday,13:00:00,17:20:00
DD275,007,HISTORY OF GAMES,Face-to-Face,3.0,Tuesday,08:30:00,11:20:00
DD275,101,HISTORY OF GAMES,Face-to-Face,3.0,Monday,18:00:00,20:50:00
DD275,103,HISTORY OF GAMES,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
DD303,001,FOUNDATIONS OF SOUND AND MUSIC,Face-to-Face,3.0,Monday,10:00:00,11:20:00
DD303,001,FOUNDATIONS OF SOUND AND MUSIC,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
DD334,103,SIMULATED ENVIRONMENTS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
DD334,105,SIMULATED ENVIRONMENTS,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
DD363,001,DIGITAL DESIGN STUDIO III,Face-to-Face,5.0,Monday,13:00:00,17:20:00
DD363,001,DIGITAL DESIGN STUDIO III,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
DD363,003,DIGITAL DESIGN STUDIO III,Face-to-Face,5.0,Monday,13:00:00,17:20:00
DD363,003,DIGITAL DESIGN STUDIO III,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
DD363,005,DIGITAL DESIGN STUDIO III,Face-to-Face,5.0,Monday,13:00:00,17:20:00
DD363,005,DIGITAL DESIGN STUDIO III,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
DD443,101,2-DIMENSIONAL CHARACTER DESIGN,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
DD444,101,3-DIMENSIONAL CHARACTER DEVEL,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
DD444,103,3-DIMENSIONAL CHARACTER DEVEL,Face-to-Face,3.0,Monday,18:00:00,20:50:00
