Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
DS100,001,BASIC FOUNDATIONS OF DS,Face-to-Face,3.0,Friday,13:00:00,14:20:00
DS100,001,BASIC FOUNDATIONS OF DS,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
DS110,001,BASIC FOUNDATIONS OF AI,Face-to-Face,3.0,Friday,08:30:00,11:20:00
DS340,001,FUND. AND PRIN. OF DS,Face-to-Face,3.0,Wednesday,08:30:00,11:20:00
DS400,101,FOUNDATION OF ML,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
DS410,001,FEDML AND APPLICATIONS,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
DS410,001,FEDML AND APPLICATIONS,Face-to-Face,3.0,Friday,13:00:00,14:20:00
DS488,146,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,531,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,540,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,542,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,543,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,550,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,566,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,568,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,570,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,572,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,575,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,576,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,582,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,606,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,610,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,616,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,624,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS488,693,INDEPENDENT STUDY IN DS,Face-to-Face,3.0,,,
DS492,101,DATA SCIENCE CAPSTONE I,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
DS493,001,DATA SCIENCE CAPSTONE II,Face-to-Face,3.0,Friday,14:30:00,17:20:00
DS493,H01,DATA SCIENCE CAPSTONE II - HONORS,Face-to-Face,3.0,Friday,08:30:00,11:20:00
