Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
ECET201,001,CIRCUIT ANALYSIS DC AND AC,Face-to-Face,3.0,Monday,10:45:00,12:50:00
ECET201,001,CIRCUIT ANALYSIS DC AND AC,Face-to-Face,3.0,Thursday,12:15:00,14:20:00
ECET201,101,CIRCUIT ANALYSIS DC AND AC,Face-to-Face,3.0,Thursday,18:00:00,19:55:00
ECET201,101,CIRCUIT ANALYSIS DC AND AC,Face-to-Face,3.0,Thursday,20:05:00,22:00:00
ECET201,103,CIRCUIT ANALYSIS DC AND AC,Face-to-Face,3.0,Thursday,20:05:00,22:00:00
ECET201,103,CIRCUIT ANALYSIS DC AND AC,Face-to-Face,3.0,Tuesday,18:00:00,19:55:00
ECET201,105,CIRCUIT ANALYSIS DC AND AC,Face-to-Face,3.0,Tuesday,18:00:00,19:55:00
ECET201,105,CIRCUIT ANALYSIS DC AND AC,Face-to-Face,3.0,Tuesday,20:05:00,22:00:00
ECET202,001,CIRCUITS II,Face-to-Face,3.0,Monday,13:00:00,15:05:00
ECET202,001,CIRCUITS II,Face-to-Face,3.0,Wednesday,11:30:00,13:35:00
ECET205,101,ANALOG ELECTRONICS,Face-to-Face,3.0,Thursday,18:00:00,19:55:00
ECET205,101,ANALOG ELECTRONICS,Face-to-Face,3.0,Thursday,20:05:00,22:00:00
ECET211,001,COMP. ARCH. & EMBEDDED SYS.,Face-to-Face,3.0,Monday,10:00:00,12:05:00
ECET211,001,COMP. ARCH. & EMBEDDED SYS.,Face-to-Face,3.0,Wednesday,08:30:00,10:35:00
ECET214,101,INTRO TO COMMUNICATION SYSTEMS,Face-to-Face,3.0,Wednesday,18:00:00,19:55:00
ECET214,101,INTRO TO COMMUNICATION SYSTEMS,Face-to-Face,3.0,Wednesday,20:05:00,22:00:00
ECET214,103,INTRO TO COMMUNICATION SYSTEMS,Face-to-Face,3.0,Monday,18:00:00,19:55:00
ECET214,103,INTRO TO COMMUNICATION SYSTEMS,Face-to-Face,3.0,Monday,20:05:00,22:00:00
ECET215,001,INTRO TO DIGITAL ELECTRONICS,Face-to-Face,3.0,Friday,13:00:00,15:05:00
ECET215,001,INTRO TO DIGITAL ELECTRONICS,Face-to-Face,3.0,Monday,10:45:00,12:50:00
ECET215,101,INTRO TO DIGITAL ELECTRONICS,Face-to-Face,3.0,Monday,18:00:00,19:55:00
ECET215,101,INTRO TO DIGITAL ELECTRONICS,Face-to-Face,3.0,Thursday,18:00:00,19:55:00
ECET215,103,INTRO TO DIGITAL ELECTRONICS,Face-to-Face,3.0,Monday,18:00:00,19:55:00
ECET215,103,INTRO TO DIGITAL ELECTRONICS,Face-to-Face,3.0,Monday,20:05:00,22:00:00
ECET230,001,ELECTRONICS MANUFACTURING,Face-to-Face,3.0,Tuesday,10:00:00,12:05:00
ECET230,001,ELECTRONICS MANUFACTURING,Face-to-Face,3.0,Thursday,10:00:00,12:05:00
ECET300,451,CIRCUIT ANALYSIS,Online Newark,3.0,,,
