Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
ECE231,001,CIRCUITS & SYSTEMS I,Face-to-Face,3.0,Friday,14:30:00,15:30:00
ECE231,001,CIRCUITS & SYSTEMS I,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
ECE231,001,CIRCUITS & SYSTEMS I,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
ECE231,101,CIRCUITS & SYSTEMS I,Face-to-Face,3.0,Thursday,18:00:00,22:05:00
ECE231,HM1,CIRCUITS & SYSTEMS I - HONORS,Face-to-Face,3.0,Friday,14:30:00,15:30:00
ECE231,HM1,CIRCUITS & SYSTEMS I - HONORS,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
ECE231,HM1,CIRCUITS & SYSTEMS I - HONORS,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
ECE232,001,CIRCUITS & SYSTEMS II,Face-to-Face,3.0,Monday,13:00:00,14:00:00
ECE232,001,CIRCUITS & SYSTEMS II,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
ECE232,001,CIRCUITS & SYSTEMS II,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
ECE232,101,CIRCUITS & SYSTEMS II,Face-to-Face,3.0,Friday,18:00:00,22:05:00
ECE232,HM1,CIRCUITS & SYSTEMS II - HONORS,Face-to-Face,3.0,Monday,13:00:00,14:00:00
ECE232,HM1,CIRCUITS & SYSTEMS II - HONORS,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
ECE232,HM1,CIRCUITS & SYSTEMS II - HONORS,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
ECE251,001,DIGITAL DESIGN,Face-to-Face,3.0,Friday,08:30:00,09:50:00
ECE251,001,DIGITAL DESIGN,Face-to-Face,3.0,Monday,14:30:00,15:30:00
ECE251,001,DIGITAL DESIGN,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
ECE251,003,DIGITAL DESIGN,Face-to-Face,3.0,Monday,13:00:00,14:00:00
ECE251,003,DIGITAL DESIGN,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
ECE251,003,DIGITAL DESIGN,Face-to-Face,3.0,Friday,10:00:00,11:20:00
ECE251,101,DIGITAL DESIGN,Face-to-Face,3.0,Tuesday,18:00:00,22:05:00
ECE252,101,MICROPROCESSORS,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
ECE271,001,ELECTRONIC CIRCUITS I,Face-to-Face,3.0,Monday,14:30:00,15:30:00
ECE271,001,ELECTRONIC CIRCUITS I,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
ECE271,001,ELECTRONIC CIRCUITS I,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
ECE271,101,ELECTRONIC CIRCUITS I,Face-to-Face,3.0,Monday,18:00:00,22:05:00
ECE271,HM1,ELECTRONIC CIRCUITS I - HONORS,Face-to-Face,3.0,Monday,14:30:00,15:30:00
ECE271,HM1,ELECTRONIC CIRCUITS I - HONORS,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
ECE271,HM1,ELECTRONIC CIRCUITS I - HONORS,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
ECE294,001,ANALOG AND DIGITAL LAB,Face-to-Face,2.0,Monday,08:30:00,12:50:00
ECE294,003,ANALOG AND DIGITAL LAB,Face-to-Face,2.0,Wednesday,08:30:00,12:50:00
ECE294,101,ANALOG AND DIGITAL LAB,Face-to-Face,2.0,Tuesday,18:00:00,22:05:00
ECE294,103,ANALOG AND DIGITAL LAB,Face-to-Face,2.0,Thursday,18:00:00,22:05:00
ECE321,101,RANDOM SIGNALS AND NOISE,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
ECE333,001,SIGNALS & SYSTEMS,Face-to-Face,3.0,Friday,10:00:00,11:20:00
ECE333,001,SIGNALS & SYSTEMS,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
ECE342,001,ENERGY CONVERSION,Face-to-Face,4.0,Wednesday,12:15:00,14:20:00
ECE342,001,ENERGY CONVERSION,Face-to-Face,4.0,Wednesday,10:00:00,11:20:00
ECE342,001,ENERGY CONVERSION,Face-to-Face,4.0,Friday,10:00:00,11:20:00
ECE342,003,ENERGY CONVERSION,,4.0,Monday,13:00:00,15:05:00
ECE342,003,ENERGY CONVERSION,,4.0,Monday,08:30:00,09:50:00
ECE342,003,ENERGY CONVERSION,,4.0,Friday,08:30:00,09:50:00
ECE353,001,COMPUTER ARCH & ORGANIZATION,Face-to-Face,3.0,Monday,10:00:00,11:20:00
ECE353,001,COMPUTER ARCH & ORGANIZATION,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
ECE361,101,EM FIELDS AND PROPAGATION,Face-to-Face,3.0,Thursday,18:00:00,22:05:00
ECE368,101,SIGNAL TRANSMISSION,Face-to-Face,3.0,Monday,18:00:00,20:50:00
ECE371,001,ELECTRONIC CIRCUITS DESIGN,Face-to-Face,4.0,Tuesday,08:30:00,09:50:00
ECE371,001,ELECTRONIC CIRCUITS DESIGN,Face-to-Face,4.0,Thursday,08:30:00,09:50:00
ECE371,001,ELECTRONIC CIRCUITS DESIGN,Face-to-Face,4.0,Wednesday,12:15:00,14:20:00
ECE371,HM1,ELECTRONIC CIRCUITS DESIGN- HONORS,Face-to-Face,4.0,Tuesday,08:30:00,09:50:00
ECE371,HM1,ELECTRONIC CIRCUITS DESIGN- HONORS,Face-to-Face,4.0,Thursday,08:30:00,09:50:00
ECE371,HM1,ELECTRONIC CIRCUITS DESIGN- HONORS,Face-to-Face,4.0,Wednesday,12:15:00,14:20:00
ECE375,001,INTRODUCTION TO SEMICONDUCTORS,Face-to-Face,4.0,Friday,14:30:00,16:35:00
ECE375,001,INTRODUCTION TO SEMICONDUCTORS,Face-to-Face,4.0,Tuesday,10:00:00,11:20:00
ECE375,001,INTRODUCTION TO SEMICONDUCTORS,Face-to-Face,4.0,Thursday,10:00:00,11:20:00
ECE381,001,APPLIED MACHINE LEARNING,Face-to-Face,3.0,Thursday,14:30:00,16:35:00
ECE381,001,APPLIED MACHINE LEARNING,Face-to-Face,3.0,Tuesday,14:30:00,16:35:00
ECE395,001,MICROPROCESSOR LABORATORY,Face-to-Face,2.0,Friday,13:00:00,17:20:00
ECE395,101,MICROPROCESSOR LABORATORY,Face-to-Face,2.0,Tuesday,18:00:00,22:05:00
ECE395,103,MICROPROCESSOR LABORATORY,Face-to-Face,2.0,Monday,18:00:00,22:05:00
ECE405,001,ELEC ENGR PRINCIPLES,Face-to-Face,3.0,Monday,14:30:00,15:50:00
ECE405,001,ELEC ENGR PRINCIPLES,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
ECE414,001,ELECT & COMP ENGR PROJECT I,Face-to-Face,1.0,Friday,13:00:00,14:00:00
ECE414,HM1,ELECT & COMP ENGR PROJECT I - HONORS,Face-to-Face,1.0,Friday,13:00:00,14:00:00
ECE416,001,ELECT & COMP ENGNR PROJ II,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
ECE416,001,ELECT & COMP ENGNR PROJ II,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
ECE416,101,ELECT & COMP ENGNR PROJ II,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
ECE417,241,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,245,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,249,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,251,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,254,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,261,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,262,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,267,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,270,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,275,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,277,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,296,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,298,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,307,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,308,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,314,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,315,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,316,ELECT AND COMP ENGR PROJ II,Face-to-Face,3.0,,,
ECE417,H01,ELECT AND COMP ENGR PROJ II - HONORS,Face-to-Face,3.0,,,
ECE418,299,INDEPENDENT STUDY,Face-to-Face,3.0,,,
ECE418,307,INDEPENDENT STUDY,Face-to-Face,3.0,,,
ECE421,101,DIGITAL DATA COMMUNICATION,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
ECE422,001,COMPUTER COMM NETWORKS,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
ECE422,001,COMPUTER COMM NETWORKS,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
ECE425,001,WIRELESS COMMUNICATION SYSTEMS,Face-to-Face,3.0,Monday,14:30:00,17:20:00
ECE429,001,COMPUTER COMMUNICATIONS LAB,Face-to-Face,2.0,Tuesday,13:00:00,17:20:00
ECE429,003,COMPUTER COMMUNICATIONS LAB,Face-to-Face,2.0,Tuesday,08:30:00,12:50:00
ECE429,101,COMPUTER COMMUNICATIONS LAB,Face-to-Face,2.0,Wednesday,18:00:00,22:05:00
ECE431,001,INTRO TO FEEDBACK CONTROL SYST,Face-to-Face,3.0,Monday,11:30:00,12:50:00
ECE431,001,INTRO TO FEEDBACK CONTROL SYST,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
ECE442,001,POWER SYSTEMS,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
ECE442,001,POWER SYSTEMS,Face-to-Face,3.0,Thursday,08:30:00,09:50:00
ECE449,001,POWER SYSTEMS LABORATORY,Face-to-Face,2.0,Wednesday,08:30:00,12:50:00
ECE451,001,ADVANCED COMPUTER ARCHITECTURE,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
ECE451,001,ADVANCED COMPUTER ARCHITECTURE,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
ECE453,101,INTRO DISCRETE EVENT SYS,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
ECE461,001,HIGH-SPEED ELECTRONIC DEVICES,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
ECE461,001,HIGH-SPEED ELECTRONIC DEVICES,Face-to-Face,3.0,Friday,10:00:00,11:20:00
