Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
ENE262,001,INTRO TO ENVIRONMENTAL ENGR,Face-to-Face,3.0,Tuesday,10:00:00,14:20:00
ENE262,101,INTRO TO ENVIRONMENTAL ENGR,Face-to-Face,3.0,Tuesday,18:00:00,22:05:00
ENE262,103,INTRO TO ENVIRONMENTAL ENGR,Face-to-Face,3.0,Thursday,18:00:00,22:05:00
ENE360,101,WATER & WASTEWATER ENGINEERING,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
ENE490,181,SENIOR PROJECT,Face-to-Face,3.0,,,
ENE490,182,SENIOR PROJECT,Face-to-Face,3.0,,,
ENE490,197,SENIOR PROJECT,Face-to-Face,3.0,,,
ENE490,198,SENIOR PROJECT,Face-to-Face,3.0,,,
ENE490,211,SENIOR PROJECT,Face-to-Face,3.0,,,
ENE490,214,SENIOR PROJECT,Face-to-Face,3.0,,,
ENE490,218,SENIOR PROJECT,Face-to-Face,3.0,,,
ENE593,194,GRADUATE CO-OP WORK EXP IV,Face-to-Face,0.0,,,
ENE630,101,PHYSICAL PROCESSES OF ENV SYST,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
ENE661,101,ENVIRONMENTAL MICROBIOLOGY,Face-to-Face,3.0,Monday,18:00:00,20:50:00
ENE662,851,SITE REMEDIATION,Online Virtual,3.0,,,
ENE700B,181,MASTER'S PROJECT,Face-to-Face,3.0,,,
ENE700B,182,MASTER'S PROJECT,Face-to-Face,3.0,,,
ENE700B,197,MASTER'S PROJECT,Face-to-Face,3.0,,,
ENE700B,198,MASTER'S PROJECT,Face-to-Face,3.0,,,
ENE700B,210,MASTER'S PROJECT,Face-to-Face,3.0,,,
ENE700B,211,MASTER'S PROJECT,Face-to-Face,3.0,,,
ENE700B,214,MASTER'S PROJECT,Face-to-Face,3.0,,,
ENE700B,218,MASTER'S PROJECT,Face-to-Face,3.0,,,
ENE701B,181,MASTER'S THESIS,Face-to-Face,3.0,,,
ENE701B,182,MASTER'S THESIS,Face-to-Face,3.0,,,
ENE701B,197,MASTER'S THESIS,Face-to-Face,3.0,,,
ENE701B,198,MASTER'S THESIS,Face-to-Face,3.0,,,
ENE701B,211,MASTER'S THESIS,Face-to-Face,3.0,,,
ENE701B,214,MASTER'S THESIS,Face-to-Face,3.0,,,
ENE701B,218,MASTER'S THESIS,Face-to-Face,3.0,,,
ENE701C,181,MASTER'S THESIS,Face-to-Face,6.0,,,
ENE701C,182,MASTER'S THESIS,Face-to-Face,6.0,,,
ENE701C,197,MASTER'S THESIS,Face-to-Face,6.0,,,
ENE701C,198,MASTER'S THESIS,Face-to-Face,6.0,,,
ENE701C,211,MASTER'S THESIS,Face-to-Face,6.0,,,
ENE701C,214,MASTER'S THESIS,Face-to-Face,6.0,,,
ENE701C,218,MASTER'S THESIS,Face-to-Face,6.0,,,
ENE702,101,ST: TECHNOLOGIES FOR TREATMENT FOR EMERGING CONTAMINANTS,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
ENE725,181,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
ENE725,182,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
ENE725,197,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
ENE725,198,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
ENE725,211,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
ENE725,214,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
ENE725,218,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
ENE726,181,INDEPENDENT STUDY,Face-to-Face,3.0,,,
ENE726,182,INDEPENDENT STUDY,Face-to-Face,3.0,,,
ENE726,197,INDEPENDENT STUDY,Face-to-Face,3.0,,,
ENE726,198,INDEPENDENT STUDY,Face-to-Face,3.0,,,
ENE726,211,INDEPENDENT STUDY,Face-to-Face,3.0,,,
ENE726,214,INDEPENDENT STUDY,Face-to-Face,3.0,,,
ENE726,218,INDEPENDENT STUDY,Face-to-Face,3.0,,,
ENE790A,181,DOCTORAL DISSERT & RES,Face-to-Face,1.0,,,
ENE790A,182,DOCTORAL DISSERT & RES,Face-to-Face,1.0,,,
ENE790A,197,DOCTORAL DISSERT & RES,Face-to-Face,1.0,,,
ENE790A,198,DOCTORAL DISSERT & RES,Face-to-Face,1.0,,,
ENE790A,211,DOCTORAL DISSERT & RES,Face-to-Face,1.0,,,
ENE790A,214,DOCTORAL DISSERT & RES,Face-to-Face,1.0,,,
ENE790A,218,DOCTORAL DISSERT & RES,Face-to-Face,1.0,,,
ENE792,181,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
ENE792,182,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
ENE792,197,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
ENE792,198,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
ENE792,211,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
ENE792,214,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
ENE792,218,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
