Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
ENGR101,001,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Friday,14:30:00,15:50:00
ENGR101,001,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Monday,11:30:00,12:50:00
ENGR101,001,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Thursday,11:30:00,12:50:00
ENGR101,001,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Tuesday,11:30:00,12:50:00
ENGR101,003,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Friday,10:00:00,11:20:00
ENGR101,003,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Monday,11:30:00,12:50:00
ENGR101,003,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Thursday,11:30:00,12:50:00
ENGR101,003,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Wednesday,10:00:00,11:20:00
ENGR101,005,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Friday,16:00:00,17:20:00
ENGR101,005,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Monday,13:00:00,14:20:00
ENGR101,005,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Thursday,13:00:00,14:20:00
ENGR101,005,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Tuesday,13:00:00,14:20:00
ENGR101,007,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Monday,13:00:00,14:20:00
ENGR101,007,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Thursday,13:00:00,14:20:00
ENGR101,007,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Thursday,14:30:00,15:50:00
ENGR101,007,ANALYTICAL METH FOR ENGR APPL,Face-to-Face,4.0,Wednesday,11:30:00,12:50:00
ENGR211,001,PROF. SKILLS FOR ENGINEERS I,Hybrid,1.0,Wednesday,11:30:00,12:50:00
ENGR211,001,PROF. SKILLS FOR ENGINEERS I,Hybrid,1.0,,,
ENGR211,003,PROF. SKILLS FOR ENGINEERS I,Hybrid,1.0,Wednesday,11:30:00,12:50:00
ENGR211,003,PROF. SKILLS FOR ENGINEERS I,Hybrid,1.0,,,
ENGR211,101,PROF. SKILLS FOR ENGINEERS I,Hybrid,1.0,Monday,18:00:00,19:20:00
ENGR211,101,PROF. SKILLS FOR ENGINEERS I,Hybrid,1.0,,,
ENGR211,103,PROF. SKILLS FOR ENGINEERS I,Hybrid,1.0,Monday,18:00:00,19:20:00
ENGR211,103,PROF. SKILLS FOR ENGINEERS I,Hybrid,1.0,,,
ENGR220,001,INTRO TO MANUAL MACHINING,Hybrid,2.0,Tuesday,10:00:00,12:05:00
ENGR220,001,INTRO TO MANUAL MACHINING,Hybrid,2.0,,,
ENGR220,003,INTRO TO MANUAL MACHINING,Hybrid,2.0,Thursday,15:15:00,17:20:00
ENGR220,003,INTRO TO MANUAL MACHINING,Hybrid,2.0,,,
ENGR220,005,INTRO TO MANUAL MACHINING,Hybrid,2.0,Tuesday,15:15:00,17:20:00
ENGR220,005,INTRO TO MANUAL MACHINING,Hybrid,2.0,,,
ENGR222,001,INTRO TO WOOD WORKING,Hybrid,1.0,Tuesday,09:15:00,11:20:00
ENGR222,001,INTRO TO WOOD WORKING,Hybrid,1.0,,,
ENGR222,003,INTRO TO WOOD WORKING,Hybrid,1.0,Tuesday,09:15:00,11:20:00
ENGR222,003,INTRO TO WOOD WORKING,Hybrid,1.0,,,
ENGR222,005,INTRO TO WOOD WORKING,Hybrid,1.0,Thursday,12:15:00,14:20:00
ENGR222,005,INTRO TO WOOD WORKING,Hybrid,1.0,,,
ENGR222,007,INTRO TO WOOD WORKING,Hybrid,1.0,Thursday,13:00:00,15:05:00
