Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
ENTR210,001,INTRO TO ENTREPRENEURSHIP,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
ENTR210,001,INTRO TO ENTREPRENEURSHIP,Face-to-Face,3.0,Friday,10:00:00,11:20:00
ENTR210,451,INTRO TO ENTREPRENEURSHIP,Online Newark,3.0,,,
ENTR210,453,INTRO TO ENTREPRENEURSHIP,Online Newark,3.0,,,
ENTR210,455,INTRO TO ENTREPRENEURSHIP,Online Virtual,3.0,,,
ENTR210,457,INTRO TO ENTREPRENEURSHIP,Online Newark,3.0,,,
ENTR210,H01,INTRO TO ENTREPRENEURSHIP - HONORS,Face-to-Face,3.0,Monday,11:30:00,12:50:00
ENTR210,H01,INTRO TO ENTREPRENEURSHIP - HONORS,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
ENTR320,001,FINANCING NEW VENTURE,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
ENTR320,001,FINANCING NEW VENTURE,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
ENTR320,451,FINANCING NEW VENTURE,Online Virtual,3.0,,,
ENTR440,451,LEAN STARTUP ACCELERATOR,Online Virtual,3.0,,,
