Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
EVSC335,001,ENVIRONMENTAL LAW,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
EVSC335,001,ENVIRONMENTAL LAW,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
EVSC385,001,ENVIRONMENTAL MICROBIOLOGY,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
EVSC484,101,ENVIRONMENTAL ANALYSIS,Face-to-Face,3.0,Monday,18:00:00,22:05:00
EVSC591,131,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,132,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,135,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,136,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,137,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,138,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,141,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,142,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,143,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,144,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,148,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,151,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,152,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,156,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,158,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,161,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC591,843,GRADUATE WORK EXPERIENCE I,Face-to-Face,1.0,,,
EVSC592,131,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,132,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,135,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,136,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,137,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,138,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,141,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,142,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,143,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,144,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,148,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,151,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,152,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,156,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,158,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,161,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC592,843,GRADUATE WORK EXPERIENCE II,Face-to-Face,1.0,,,
EVSC610,101,ENVIRONMENTAL CHEMICAL SCIENCE,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
EVSC612,101,ENVIRONMENTAL ANALYSIS,Face-to-Face,3.0,Monday,18:00:00,22:05:00
EVSC616,101,TOXICOLOGY,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
EVSC627,101,ENVIRONMENTAL MICROBIOLOGY,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
EVSC700B,131,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,132,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,135,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,136,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,137,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,138,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,141,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,142,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,143,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,144,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,148,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,151,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,152,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,156,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,158,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,161,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC700B,843,MASTER'S PROJECT,Face-to-Face,3.0,,,
EVSC701B,131,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,132,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,135,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,136,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,137,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,138,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,141,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,142,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,143,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,144,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,148,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,151,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,152,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,156,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,158,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,161,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701B,843,MASTER'S THESIS,Face-to-Face,3.0,,,
EVSC701C,131,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,132,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,135,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,136,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,137,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,138,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,141,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,142,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,143,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,144,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,148,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,151,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,152,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,156,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,158,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,161,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC701C,843,MASTER'S THESIS,Face-to-Face,6.0,,,
EVSC712,101,HAZARDOUS SUBSTANCE MANAGEMENT,Face-to-Face,3.0,Friday,18:00:00,20:50:00
EVSC725,131,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,132,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,135,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,136,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,137,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,138,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,141,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,142,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,143,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,144,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,148,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,151,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,152,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,156,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,158,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,161,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC725,843,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
EVSC726,131,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,132,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,135,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,136,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,137,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,138,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,141,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,142,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,143,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,144,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,148,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,151,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,152,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,156,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,158,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,161,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC726,843,INDEPENDENT STUDY II,Face-to-Face,3.0,,,
EVSC790A,131,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,132,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,135,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,136,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,137,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,138,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,141,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,142,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,143,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,144,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,148,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,151,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,152,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,156,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,158,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,161,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC790A,843,DOCTORAL DISSERTATION,Face-to-Face,1.0,,,
EVSC791,001,ENVIRONMENTAL SCIENCE SEMINAR,Face-to-Face,0.0,Wednesday,13:00:00,14:20:00
EVSC792B,131,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,132,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,135,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,136,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,137,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,138,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,141,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,142,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,143,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,144,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,148,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,151,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,152,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,156,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,158,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,161,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
EVSC792B,843,PRE-DOCTORAL RESEARCH,Face-to-Face,3.0,,,
