Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
FED101,N19,ECE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Monday,08:30:00,11:20:00
FED101,N21,ECE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,08:30:00,11:20:00
FED101,N23,ECE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,08:30:00,11:20:00
FED101,N25,ECE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Monday,08:30:00,11:20:00
FED101,N27,ECE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,08:30:00,11:20:00
FED101,N41,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,13:00:00,14:20:00
FED101,N41,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Thursday,13:00:00,14:20:00
FED101,N43,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Monday,13:00:00,14:20:00
FED101,N43,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Wednesday,13:00:00,14:20:00
FED101,N45,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Monday,11:30:00,12:50:00
FED101,N45,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Wednesday,11:30:00,12:50:00
FED101,N47,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,16:00:00,17:20:00
FED101,N47,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,16:00:00,17:20:00
FED101,N49,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,14:30:00,15:50:00
FED101,N49,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Thursday,14:30:00,15:50:00
FED101,N51,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,10:00:00,11:20:00
FED101,N51,ME - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Thursday,10:00:00,11:20:00
FED101,HM1,MIE - FUNDAMENTALS OF ENGINEERING DESIGN - HONORS,Face-to-Face,2.0,Tuesday,13:00:00,14:20:00
FED101,HM1,MIE - FUNDAMENTALS OF ENGINEERING DESIGN - HONORS,Face-to-Face,2.0,Thursday,13:00:00,14:20:00
FED101,N01,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,10:00:00,11:20:00
FED101,N01,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Monday,14:30:00,15:50:00
FED101,N03,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,10:00:00,11:20:00
FED101,N03,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,16:00:00,17:20:00
FED101,N05,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,10:00:00,11:20:00
FED101,N05,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,10:00:00,11:20:00
FED101,N07,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Thursday,11:30:00,12:50:00
FED101,N07,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,16:00:00,17:20:00
FED101,N09,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Thursday,16:00:00,17:20:00
FED101,N09,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,16:00:00,17:20:00
FED101,N11,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,10:00:00,11:20:00
FED101,N11,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,16:00:00,17:20:00
FED101,N33,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,08:30:00,09:50:00
FED101,N33,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Tuesday,08:30:00,09:50:00
FED101,N35,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,08:30:00,09:50:00
FED101,N35,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Monday,08:30:00,09:50:00
FED101,N37,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Friday,08:30:00,09:50:00
FED101,N37,NCE - FUNDAMENTALS OF ENGINEERING DESIGN,Face-to-Face,2.0,Wednesday,08:30:00,09:50:00
FED101,H01,NCE - FUNDAMENTALS OF ENGINEERING DESIGN- HONORS,Face-to-Face,2.0,Monday,14:30:00,15:50:00
FED101,H01,NCE - FUNDAMENTALS OF ENGINEERING DESIGN- HONORS,Face-to-Face,2.0,Wednesday,13:00:00,14:20:00
FED101,H03,NCE - FUNDAMENTALS OF ENGINEERING DESIGN- HONORS,Face-to-Face,2.0,Monday,11:30:00,12:50:00
FED101,H03,NCE - FUNDAMENTALS OF ENGINEERING DESIGN- HONORS,Face-to-Face,2.0,Wednesday,13:00:00,14:20:00
