Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
FIN218,001,FINANCL MARKETS & INSTITUTIONS,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
FIN218,001,FINANCL MARKETS & INSTITUTIONS,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
FIN218,003,FINANCL MARKETS & INSTITUTIONS,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
FIN218,003,FINANCL MARKETS & INSTITUTIONS,Face-to-Face,3.0,Friday,13:00:00,14:20:00
FIN218,101,FINANCL MARKETS & INSTITUTIONS,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
FIN218,451,FINANCL MARKETS & INSTITUTIONS,Online Newark,3.0,,,
FIN218,HM1,FINANCL MARKETS & INSTITUTIONS - HONORS,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
FIN218,HM1,FINANCL MARKETS & INSTITUTIONS - HONORS,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
FIN306,001,BLOCKCHAIN TECH FOR BUSINESS,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
FIN306,001,BLOCKCHAIN TECH FOR BUSINESS,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
FIN310,001,DATA-DRIVEN FINANCIAL MODELING,Face-to-Face,3.0,Monday,11:30:00,12:50:00
FIN310,001,DATA-DRIVEN FINANCIAL MODELING,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
FIN315,001,FUND OF CORPORATE FINANCE,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
FIN315,001,FUND OF CORPORATE FINANCE,Face-to-Face,3.0,Friday,13:00:00,14:20:00
FIN315,003,FUND OF CORPORATE FINANCE,Face-to-Face,3.0,Monday,14:30:00,15:50:00
FIN315,003,FUND OF CORPORATE FINANCE,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
FIN315,101,FUND OF CORPORATE FINANCE,Face-to-Face,3.0,Monday,18:00:00,20:50:00
FIN315,451,FUND OF CORPORATE FINANCE,Online Newark,3.0,,,
FIN315,453,FUND OF CORPORATE FINANCE,Online Newark,3.0,,,
FIN315,HM1,FUND OF CORPORATE FINANCE - HONORS,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
FIN315,HM1,FUND OF CORPORATE FINANCE - HONORS,Face-to-Face,3.0,Friday,13:00:00,14:20:00
FIN320,001,FIN DATA ANALYTICS,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
FIN320,001,FIN DATA ANALYTICS,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
FIN403,451,FINANCIAL STATEMENT ANALYSIS,Online Newark,3.0,,,
FIN410,001,DATA MINING & MACHINE LEARNING,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
FIN410,001,DATA MINING & MACHINE LEARNING,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
FIN417,001,INVESTMENTS MANAGEMENT,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
FIN417,001,INVESTMENTS MANAGEMENT,Face-to-Face,3.0,Thursday,08:30:00,09:50:00
FIN422,101,INTERNATIONAL FINANCE,Face-to-Face,3.0,Monday,18:00:00,20:50:00
FIN430,001,OPTIONS AND FUTURES MARKETS,Face-to-Face,3.0,Monday,10:00:00,11:20:00
FIN430,001,OPTIONS AND FUTURES MARKETS,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
FIN600,001,CORPORATE FINANCE I,Hybrid,3.0,Tuesday,14:30:00,17:20:00
FIN600,101,CORPORATE FINANCE I,Hybrid,3.0,Thursday,18:00:00,20:50:00
FIN600,103,CORPORATE FINANCE I,Hybrid,3.0,Wednesday,18:00:00,20:50:00
FIN600,851,CORPORATE FINANCE I,Online Newark,3.0,,,
FIN600,853,CORPORATE FINANCE I,Online Virtual,3.0,,,
FIN600,855,CORPORATE FINANCE I,Online Virtual,3.0,,,
FIN611,101,INTRO TO TOPICS IN FIN TECH,Hybrid,3.0,Wednesday,18:00:00,20:50:00
FIN616,101,DATA DRIVEN FINANCIAL MODELING,Hybrid,3.0,Wednesday,18:00:00,20:50:00
FIN624,851,CORPORATE FINANCE II,Online Virtual,3.0,,,
FIN641,101,DERIVATIVES MARKETS,Hybrid,3.0,Monday,18:00:00,20:50:00
FIN650,851,INVESTMNT ANALYSIS & PORTFOLIO,Online Virtual,3.0,,,
