Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
HRM301,001,ORGANIZATIONAL BEHAVIOR,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
HRM301,001,ORGANIZATIONAL BEHAVIOR,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
HRM301,003,ORGANIZATIONAL BEHAVIOR,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
HRM301,003,ORGANIZATIONAL BEHAVIOR,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
HRM301,451,ORGANIZATIONAL BEHAVIOR,Online Newark,3.0,,,
HRM301,453,ORGANIZATIONAL BEHAVIOR,Online Newark,3.0,,,
HRM301,455,ORGANIZATIONAL BEHAVIOR,Online Virtual,3.0,,,
HRM601,001,ORG BEHAVIOR IN TECH ORGS,Hybrid,3.0,Tuesday,14:30:00,17:20:00
HRM601,101,ORG BEHAVIOR IN TECH ORGS,Hybrid,3.0,Monday,18:00:00,20:50:00
HRM601,851,ORG BEHAVIOR IN TECH ORGS,Online Virtual,3.0,,,
HRM601,853,ORG BEHAVIOR IN TECH ORGS,Online Virtual,3.0,,,
HRM601,855,ORG BEHAVIOR IN TECH ORGS,Online Newark,3.0,,,
HRM601,857,ORG BEHAVIOR IN TECH ORGS,Online Virtual,3.0,,,
HRM630,101,MANAGING TECH & ORG CHNG,Hybrid,3.0,Monday,18:00:00,20:50:00
HRM630,851,MANAGING TECH & ORG CHNG,Online Virtual,3.0,,,
