Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
HSS404,107,ENG SEM:  FAKE NEWS AND MISINFORMATION IN THE POST-TRUTH ERA,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
HSS404,035,ENG SEM: ARTIFICIAL LIFE: FRANKENSTEIN AND AFTER,Face-to-Face,3.0,Monday,08:30:00,09:50:00
HSS404,035,ENG SEM: ARTIFICIAL LIFE: FRANKENSTEIN AND AFTER,Face-to-Face,3.0,Thursday,08:30:00,09:50:00
HSS404,067,ENG SEM: CULT FILMS: COUNTERCULTURE AND THE RISE OF CINEMATIC REVOLUTION,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
HSS404,067,ENG SEM: CULT FILMS: COUNTERCULTURE AND THE RISE OF CINEMATIC REVOLUTION,Face-to-Face,3.0,Friday,10:00:00,11:20:00
HSS404,053,ENG SEM: DOWN THE SHORE EVERYTHING’S ALL RIGHT,Face-to-Face,3.0,Monday,13:00:00,14:20:00
HSS404,053,ENG SEM: DOWN THE SHORE EVERYTHING’S ALL RIGHT,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
HSS404,041,"ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE",Hybrid,3.0,Friday,10:00:00,11:20:00
HSS404,041,"ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE",Hybrid,3.0,,,
HSS404,043,"ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE",Hybrid,3.0,Friday,13:00:00,14:20:00
HSS404,043,"ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE",Hybrid,3.0,,,
HSS404,057,"ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS",Face-to-Face,3.0,Monday,14:30:00,15:50:00
HSS404,057,"ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS",Face-to-Face,3.0,Thursday,14:30:00,15:50:00
HSS404,059,"ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS",Face-to-Face,3.0,Monday,16:00:00,17:20:00
HSS404,059,"ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS",Face-to-Face,3.0,Thursday,16:00:00,17:20:00
HSS404,027,ENG SEM: LIFELONG LEARNING WITH AUDIOBOOKS,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
