Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
ID203,001,"INNOV:PAST, PRESENT & FUTURE",Face-to-Face,3.0,Monday,08:30:00,09:50:00
ID203,001,"INNOV:PAST, PRESENT & FUTURE",Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
ID216,001,MODELING AND PROTOTYPING,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
ID216,001,MODELING AND PROTOTYPING,Face-to-Face,3.0,Friday,10:00:00,11:20:00
ID263,001,INDUSTRIAL DESIGN STUDIO I,Face-to-Face,4.0,Monday,13:00:00,17:20:00
ID263,001,INDUSTRIAL DESIGN STUDIO I,Face-to-Face,4.0,Thursday,13:00:00,17:20:00
ID310,101,ETHNOGRAPHIC & MRKT RESEARCH,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
ID312,001,MECHANICS AND ELECTRONICS,Face-to-Face,3.0,Monday,10:00:00,11:20:00
ID312,001,MECHANICS AND ELECTRONICS,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
ID340,001,MATERIALS AND PROCESSES,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
ID340,001,MATERIALS AND PROCESSES,Face-to-Face,3.0,Thursday,08:30:00,09:50:00
ID363,001,INDUSTRIAL DESIGN STUDIO III,Face-to-Face,5.0,Monday,13:00:00,17:20:00
ID363,001,INDUSTRIAL DESIGN STUDIO III,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
ID410,001,PROF PRACTICE & ETHICS,Face-to-Face,3.0,Monday,08:30:00,09:50:00
ID410,001,PROF PRACTICE & ETHICS,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
ID410,003,PROF PRACTICE & ETHICS,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
ID410,003,PROF PRACTICE & ETHICS,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
