Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
IE203,001,COMPUTER GRAPHICS IN IE,Face-to-Face,2.0,Monday,10:00:00,12:50:00
IE334,001,ENGR ECO & CPTL INV ANAL,Face-to-Face,3.0,Monday,14:30:00,15:50:00
IE334,001,ENGR ECO & CPTL INV ANAL,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
IE335,001,ENGR COST ANAL & CONTROL,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
IE335,001,ENGR COST ANAL & CONTROL,Face-to-Face,3.0,Friday,14:30:00,15:50:00
IE335,451,ENGR COST ANAL & CONTROL,Online Newark,3.0,,,
IE335,453,ENGR COST ANAL & CONTROL,Online Newark,3.0,,,
IE339,101,WORK MEASUREMENT AND STANDARDS,Face-to-Face,3.0,Tuesday,18:00:00,22:05:00
IE355,101,HUMAN FACTORS IN IE,Face-to-Face,3.0,Monday,18:00:00,20:50:00
IE439,101,DETERMINISTIC MOD IN OPER RESR,Face-to-Face,3.0,Friday,18:00:00,20:50:00
IE439,HM1,DETERMINISTIC MOD IN OPER RESR - HONORS,Face-to-Face,3.0,Friday,18:00:00,20:50:00
IE441,001,INFO & KNOW ENGR SYSTEMS,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
IE441,001,INFO & KNOW ENGR SYSTEMS,Face-to-Face,3.0,Friday,10:00:00,11:20:00
IE443,001,SENIOR PROJECT I,Face-to-Face,2.0,Thursday,11:30:00,15:50:00
IE443,HM1,SENIOR PROJECT I - HONORS,Face-to-Face,2.0,Thursday,11:30:00,15:50:00
IE447,451,LEGAL ASPECTS OF ENGINEERING,Online Newark,3.0,,,
IE447,453,LEGAL ASPECTS OF ENGINEERING,Online Newark,3.0,,,
IE455,001,ROBOTICS & PROG LOGIC CONTROL,Face-to-Face,3.0,Monday,13:00:00,17:20:00
IE461,101,PRODUCT QUALITY ASSURANCE,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
IE481,361,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,362,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,390,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,391,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,392,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,394,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,400,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,402,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,403,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,407,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,462,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,486,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE481,487,INVSTGTNS IN INDS ENGR I,Face-to-Face,3.0,,,
IE492,101,ENGINEERING MANAGEMENT,Face-to-Face,3.0,Friday,18:00:00,20:50:00
IE492,103,ENGINEERING MANAGEMENT,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
IE492,451,ENGINEERING MANAGEMENT,Online Newark,3.0,,,
IE492,453,ENGINEERING MANAGEMENT,Online Newark,3.0,,,
IE492,455,ENGINEERING MANAGEMENT,Online Newark,3.0,,,
IE492,457,ENGINEERING MANAGEMENT,Online Newark,3.0,,,
IE492,459,ENGINEERING MANAGEMENT,Online Newark,3.0,,,
IE492,H01,ENGINEERING MANAGEMENT - HONORS,Face-to-Face,3.0,Friday,14:30:00,17:20:00
IE590,400,GRAD CO-OP WORK EXPERIENCE I,Face-to-Face,1.0,,,
IE591,400,GRAD CO-OP WORK EXPERIENCE II,Face-to-Face,1.0,,,
IE592,400,GRAD CO-OP WORK EXPERIENCE III,Face-to-Face,1.0,,,
IE604,101,ADVANCED ENGINEERNG STAT,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
IE618,101,ENGR COST & PRODUC ECONO,Face-to-Face,3.0,Friday,18:00:00,20:50:00
IE621,101,SYST ANALYSIS & SIMULATN,Face-to-Face,3.0,Monday,18:00:00,20:50:00
