Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
INT221,001,BUILDING & INTERIOR SYSTEMS I,Face-to-Face,3.0,Monday,08:30:00,09:50:00
INT221,001,BUILDING & INTERIOR SYSTEMS I,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
INT263,001,INTERIOR DESIGN STUDIO I,Face-to-Face,4.0,Monday,13:00:00,17:20:00
INT263,001,INTERIOR DESIGN STUDIO I,Face-to-Face,4.0,Thursday,13:00:00,17:20:00
INT263,003,INTERIOR DESIGN STUDIO I,Face-to-Face,4.0,Monday,13:00:00,17:20:00
INT263,003,INTERIOR DESIGN STUDIO I,Face-to-Face,4.0,Thursday,13:00:00,17:20:00
INT321,001,METHODS AND MATERIALS,Face-to-Face,3.0,Monday,10:00:00,11:20:00
INT321,001,METHODS AND MATERIALS,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
INT350,001,HISTORY OF FURNITURE,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
INT350,001,HISTORY OF FURNITURE,Face-to-Face,3.0,Friday,10:00:00,11:20:00
INT363,001,INTERIOR DESIGN STUDIO III,Face-to-Face,5.0,Monday,13:00:00,17:20:00
INT363,001,INTERIOR DESIGN STUDIO III,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
INT363,003,INTERIOR DESIGN STUDIO III,Face-to-Face,5.0,Monday,13:00:00,17:20:00
INT363,003,INTERIOR DESIGN STUDIO III,Face-to-Face,5.0,Thursday,13:00:00,17:20:00
