Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
IS117,001,INTRO TO WEBSITE DEVELOPMENT,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
IS117,001,INTRO TO WEBSITE DEVELOPMENT,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
IS117,003,INTRO TO WEBSITE DEVELOPMENT,Face-to-Face,3.0,Monday,11:30:00,12:50:00
IS117,003,INTRO TO WEBSITE DEVELOPMENT,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
IS117,005,INTRO TO WEBSITE DEVELOPMENT,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
IS117,005,INTRO TO WEBSITE DEVELOPMENT,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
IS117,007,INTRO TO WEBSITE DEVELOPMENT,Face-to-Face,3.0,Monday,14:30:00,15:50:00
IS117,007,INTRO TO WEBSITE DEVELOPMENT,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
IS218,001,BUILDING WEB APPLICATIONS,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
IS218,001,BUILDING WEB APPLICATIONS,Face-to-Face,3.0,Friday,14:30:00,15:50:00
IS218,003,BUILDING WEB APPLICATIONS,Face-to-Face,3.0,Monday,14:30:00,15:50:00
IS218,003,BUILDING WEB APPLICATIONS,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
IS247,001,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
IS247,001,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Friday,13:00:00,14:20:00
IS247,003,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
IS247,003,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Friday,14:30:00,15:50:00
IS247,005,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
IS247,005,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Friday,10:00:00,11:20:00
IS247,007,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Monday,13:00:00,14:20:00
IS247,007,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
IS247,009,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
IS247,009,DESIGNING THE USER EXPERIENCE,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
IS247,HM1,DESIGNING THE USER EXPERIENCE - HONORS,Face-to-Face,3.0,Monday,13:00:00,14:20:00
IS247,HM1,DESIGNING THE USER EXPERIENCE - HONORS,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
IS257,001,DESIGN THINKING,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
IS257,001,DESIGN THINKING,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
IS257,H01,DESIGN THINKING: ADDRESSING STRUCTURAL INEQUALITY - HONORS,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
IS257,H01,DESIGN THINKING: ADDRESSING STRUCTURAL INEQUALITY - HONORS,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
IS265,001,INTRO TO INFORMATION SYSTEMS,Face-to-Face,3.0,Monday,08:30:00,09:50:00
IS265,001,INTRO TO INFORMATION SYSTEMS,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
IS265,101,INTRO TO INFORMATION SYSTEMS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
IS265,103,INTRO TO INFORMATION SYSTEMS,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
IS331,001,"DATABASE DESIGN, MGMT & APPL",Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
IS331,001,"DATABASE DESIGN, MGMT & APPL",Face-to-Face,3.0,Thursday,16:00:00,17:20:00
IS331,003,"DATABASE DESIGN, MGMT & APPL",Face-to-Face,3.0,Monday,13:00:00,14:20:00
IS331,003,"DATABASE DESIGN, MGMT & APPL",Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
IS331,451,"DATABASE DESIGN, MGMT & APPL",Online Newark,3.0,,,
IS331,453,"DATABASE DESIGN, MGMT & APPL",Online Newark,3.0,,,
IS333,001,SOCIAL NETWORK ANALYSIS,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
IS333,001,SOCIAL NETWORK ANALYSIS,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
IS344,001,COMPUTING APPLICATIONS IN BUS,Hybrid,3.0,Tuesday,16:00:00,17:20:00
IS344,001,COMPUTING APPLICATIONS IN BUS,Hybrid,3.0,,,
IS344,451,COMPUTING APPLICATIONS IN BUS,Online Newark,3.0,,,
IS350,001,"COMPUTERS, SOCIETY AND ETHICS",Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
IS350,001,"COMPUTERS, SOCIETY AND ETHICS",Face-to-Face,3.0,Thursday,16:00:00,17:20:00
IS350,003,"COMPUTERS, SOCIETY AND ETHICS",Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
IS350,003,"COMPUTERS, SOCIETY AND ETHICS",Face-to-Face,3.0,Thursday,10:00:00,11:20:00
IS350,005,"COMPUTERS, SOCIETY AND ETHICS",Face-to-Face,3.0,Monday,13:00:00,14:20:00
IS350,005,"COMPUTERS, SOCIETY AND ETHICS",Face-to-Face,3.0,Thursday,13:00:00,14:20:00
IS350,101,"COMPUTERS, SOCIETY AND ETHICS",Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
IS350,103,"COMPUTERS, SOCIETY AND ETHICS",Face-to-Face,3.0,Thursday,18:00:00,20:50:00
IS350,451,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS350,453,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS350,455,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS350,457,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS350,459,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS350,461,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS350,463,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS350,465,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS350,467,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS350,469,"COMPUTERS, SOCIETY AND ETHICS",Online Newark,3.0,,,
IS373,001,CONTENT MANAGEMENT SYSTEMS,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
IS373,001,CONTENT MANAGEMENT SYSTEMS,Face-to-Face,3.0,Friday,13:00:00,14:20:00
IS375,001,DISCOVERING USER NEEDS FOR UX,Face-to-Face,3.0,Monday,10:00:00,11:20:00
IS375,001,DISCOVERING USER NEEDS FOR UX,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
IS375,003,DISCOVERING USER NEEDS FOR UX,Face-to-Face,3.0,Monday,13:00:00,14:20:00
IS375,003,DISCOVERING USER NEEDS FOR UX,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
IS375,005,DISCOVERING USER NEEDS FOR UX,Face-to-Face,3.0,Monday,13:00:00,14:20:00
IS375,005,DISCOVERING USER NEEDS FOR UX,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
IS375,007,DISCOVERING USER NEEDS FOR UX,Face-to-Face,3.0,Wednesday,08:30:00,11:20:00
IS390,001,ANALYSIS & SYSTEM DESIGN,Face-to-Face,3.0,Monday,08:30:00,09:50:00
IS390,001,ANALYSIS & SYSTEM DESIGN,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
IS390,451,ANALYSIS & SYSTEM DESIGN,Online Newark,3.0,,,
IS392,451,AI-DRIVEN TEXT ANALYTICS,Online Newark,3.0,,,
IS393,001,USABLE SECURITY AND PRIVACY,Face-to-Face,3.0,Monday,11:30:00,12:50:00
IS393,001,USABLE SECURITY AND PRIVACY,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
IS448,001,USABILITY & MEASURING UX,Face-to-Face,3.0,Tuesday,08:30:00,11:20:00
IS455,001,IS MGMT & BUSINESS PROCESSES,Face-to-Face,3.0,Monday,13:00:00,14:20:00
IS455,001,IS MGMT & BUSINESS PROCESSES,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
IS465,001,ADVANCED INFORMATION SYSTEMS,Face-to-Face,3.0,Friday,08:30:00,11:20:00
IS485,003,ST: DESIGN FOR ACCESSIBILITY,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
IS485,003,ST: DESIGN FOR ACCESSIBILITY,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
IS485,001,ST: USABLE SECURITY AND PRIVACY,Face-to-Face,3.0,Monday,11:30:00,12:50:00
IS485,001,ST: USABLE SECURITY AND PRIVACY,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
IS488,528,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,557,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,558,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,564,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,581,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,588,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,592,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,594,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,596,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,604,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,605,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,609,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,610,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,611,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,612,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,613,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
IS488,616,INDEPENDENT STUDY IN INFO,Face-to-Face,3.0,,,
