Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MATH101,001,FOUNDATIONS OF MATH LIB ARTS,Face-to-Face,3.0,Monday,14:30:00,15:50:00
MATH101,001,FOUNDATIONS OF MATH LIB ARTS,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
MATH105,001,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Tuesday,11:30:00,12:50:00
MATH105,001,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Thursday,11:30:00,12:50:00
MATH105,003,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
MATH105,003,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Friday,16:00:00,17:20:00
MATH105,005,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Monday,10:00:00,11:20:00
MATH105,005,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Thursday,10:00:00,11:20:00
MATH105,007,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
MATH105,007,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
MATH105,009,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Monday,14:30:00,15:50:00
MATH105,009,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
MATH105,011,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
MATH105,011,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
MATH105,013,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
MATH105,013,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Thursday,13:00:00,14:20:00
MATH105,101,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Monday,18:00:00,20:50:00
MATH105,103,ELEM PROBABILITY & STATISTICS,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
MATH107,001,UNIVERSITY MATHEMATICS A,Face-to-Face,3.0,Monday,08:30:00,09:50:00
MATH107,001,UNIVERSITY MATHEMATICS A,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
MATH107,003,UNIVERSITY MATHEMATICS A,Face-to-Face,3.0,Tuesday,13:00:00,14:20:00
