Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MECH234,001,ENGINEERING MECHANICS,Hybrid,2.0,Tuesday,10:00:00,12:05:00
MECH234,003,ENGINEERING MECHANICS,Hybrid,2.0,Monday,11:30:00,13:35:00
MECH234,HM1,ENGINEERING MECHANICS - HONORS,Hybrid,2.0,Monday,11:30:00,13:35:00
MECH235,001,STATICS,Hybrid,3.0,Monday,10:00:00,11:20:00
MECH235,001,STATICS,Hybrid,3.0,Wednesday,10:00:00,11:20:00
MECH235,001,STATICS,Hybrid,3.0,Wednesday,13:00:00,14:00:00
MECH235,003,STATICS,Hybrid,3.0,Monday,10:00:00,11:20:00
MECH235,003,STATICS,Hybrid,3.0,Wednesday,10:00:00,11:20:00
MECH235,003,STATICS,Hybrid,3.0,Wednesday,11:30:00,12:30:00
MECH236,001,DYNAMICS,Hybrid,2.0,Thursday,11:30:00,13:35:00
MECH236,003,DYNAMICS,Hybrid,2.0,Tuesday,13:00:00,15:05:00
MECH236,005,DYNAMICS,Hybrid,2.0,Tuesday,15:15:00,17:20:00
MECH236,007,DYNAMICS,Hybrid,2.0,Tuesday,08:30:00,10:35:00
MECH236,101,DYNAMICS,Hybrid,2.0,Thursday,18:00:00,20:50:00
MECH236,HM1,DYNAMICS - HONORS,Hybrid,2.0,Thursday,11:30:00,13:35:00
MECH237,001,STRENGTH OF MATERIALS,Hybrid,3.0,Wednesday,11:30:00,12:30:00
MECH237,001,STRENGTH OF MATERIALS,Hybrid,3.0,Wednesday,13:00:00,14:20:00
MECH237,001,STRENGTH OF MATERIALS,Hybrid,3.0,Friday,13:00:00,14:20:00
MECH237,003,STRENGTH OF MATERIALS,Hybrid,3.0,Friday,14:30:00,15:30:00
MECH237,003,STRENGTH OF MATERIALS,Hybrid,3.0,Wednesday,13:00:00,14:20:00
MECH237,003,STRENGTH OF MATERIALS,Hybrid,3.0,Friday,13:00:00,14:20:00
MECH237,101,STRENGTH OF MATERIALS,Hybrid,3.0,Monday,18:00:00,20:50:00
MECH237,101,STRENGTH OF MATERIALS,Hybrid,3.0,Monday,21:00:00,22:00:00
MECH237,HM1,STRENGTH OF MATERIALS - HONORS,Hybrid,3.0,Monday,18:00:00,20:50:00
MECH237,HM1,STRENGTH OF MATERIALS - HONORS,Hybrid,3.0,Monday,21:00:00,22:00:00
MECH238,001,APPLICATION OF DYNAMICS,Face-to-Face,1.0,Tuesday,16:00:00,18:05:00
MECH239,001,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Tuesday,08:30:00,09:30:00
MECH239,001,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Tuesday,10:00:00,11:20:00
MECH239,001,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Thursday,10:00:00,11:20:00
MECH239,003,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Thursday,08:30:00,09:30:00
MECH239,003,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Tuesday,10:00:00,11:20:00
MECH239,003,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Thursday,10:00:00,11:20:00
MECH239,101,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Thursday,14:30:00,15:30:00
MECH239,101,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Thursday,18:00:00,20:50:00
MECH239,103,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Thursday,16:00:00,17:00:00
MECH239,103,STRENGTH OF MATERIALS FOR CE,Hybrid,3.0,Thursday,18:00:00,20:50:00
