Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MET103,001,INTRO TO ET DESIGN,Face-to-Face,2.0,Tuesday,11:30:00,14:20:00
MET103,003,INTRO TO ET DESIGN,Face-to-Face,2.0,Thursday,14:30:00,17:20:00
MET103,005,INTRO TO ET DESIGN,Face-to-Face,2.0,Friday,08:30:00,11:20:00
MET103,007,INTRO TO ET DESIGN,Face-to-Face,2.0,Wednesday,08:30:00,11:20:00
MET103,009,INTRO TO ET DESIGN,Face-to-Face,2.0,Friday,13:00:00,15:50:00
MET103,101,INTRO TO ET DESIGN,Face-to-Face,2.0,Thursday,18:00:00,20:50:00
MET103,103,INTRO TO ET DESIGN,Face-to-Face,2.0,Monday,18:00:00,20:50:00
MET103,105,INTRO TO ET DESIGN,Face-to-Face,2.0,Wednesday,18:00:00,20:50:00
MET105,001,APPLIED CAD,Face-to-Face,2.0,Tuesday,16:00:00,17:20:00
MET105,001,APPLIED CAD,Face-to-Face,2.0,Thursday,16:00:00,17:20:00
MET105,101,APPLIED CAD,Face-to-Face,2.0,Monday,18:00:00,20:50:00
MET105,103,APPLIED CAD,Face-to-Face,2.0,Thursday,18:00:00,20:50:00
MET205,001,ADVANCED CAD,Face-to-Face,3.0,Monday,11:30:00,13:35:00
MET205,001,ADVANCED CAD,Face-to-Face,3.0,Wednesday,11:30:00,13:35:00
MET235,001,STATICS FOR TECHNOLOGY,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
MET235,001,STATICS FOR TECHNOLOGY,Face-to-Face,3.0,Friday,08:30:00,09:50:00
MET235,101,STATICS FOR TECHNOLOGY,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
MET236,101,DYNAMICS FOR TECHNOLOGY,Face-to-Face,2.0,Monday,18:00:00,19:55:00
MET237,001,STRNGTH OF MATERIALS FOR TEC,Face-to-Face,3.0,Monday,08:30:00,10:35:00
MET237,001,STRNGTH OF MATERIALS FOR TEC,Face-to-Face,3.0,Wednesday,08:30:00,10:35:00
MET237,101,STRNGTH OF MATERIALS FOR TEC,Face-to-Face,3.0,Tuesday,18:00:00,19:55:00
MET237,101,STRNGTH OF MATERIALS FOR TEC,Face-to-Face,3.0,Tuesday,20:05:00,22:00:00
MET301,001,ANAL & DGN MACHN ELEMS I,Face-to-Face,3.0,Thursday,13:00:00,15:05:00
MET301,001,ANAL & DGN MACHN ELEMS I,Face-to-Face,3.0,Tuesday,13:00:00,15:05:00
MET301,101,ANAL & DGN MACHN ELEMS I,Face-to-Face,3.0,Monday,18:00:00,19:55:00
MET301,101,ANAL & DGN MACHN ELEMS I,Face-to-Face,3.0,Monday,20:05:00,22:00:00
MET302,101,ANAL & DGN MACHN ELEM II,Face-to-Face,3.0,Tuesday,18:00:00,19:55:00
MET302,101,ANAL & DGN MACHN ELEM II,Face-to-Face,3.0,Tuesday,20:05:00,22:00:00
MET302,103,ANAL & DGN MACHN ELEM II,Face-to-Face,3.0,Monday,18:00:00,19:55:00
MET302,103,ANAL & DGN MACHN ELEM II,Face-to-Face,3.0,Monday,20:05:00,22:00:00
MET303,101,APPLIED THERMODYNAMICS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
MET303,451,APPLIED THERMODYNAMICS,Online Newark,3.0,,,
MET304,101,APPLIED FLUID MECHANICS,Face-to-Face,3.0,Thursday,18:00:00,19:55:00
MET304,101,APPLIED FLUID MECHANICS,Face-to-Face,3.0,Thursday,20:05:00,22:00:00
MET304,103,APPLIED FLUID MECHANICS,Hybrid,3.0,Saturday,12:00:00,14:05:00
MET304,103,APPLIED FLUID MECHANICS,Hybrid,3.0,,,
MET307,101,PLASTICS TECHNOLOGY,Face-to-Face,3.0,Tuesday,18:00:00,22:05:00
MET314,001,DYNAMICS OF MACHINERY,Face-to-Face,3.0,Tuesday,08:30:00,10:35:00
MET314,001,DYNAMICS OF MACHINERY,Face-to-Face,3.0,Wednesday,10:00:00,12:05:00
MET314,101,DYNAMICS OF MACHINERY,Face-to-Face,3.0,Wednesday,18:00:00,19:55:00
MET314,101,DYNAMICS OF MACHINERY,Face-to-Face,3.0,Wednesday,20:05:00,22:00:00
MET395,349,COOP EXPERIENCE I,Face-to-Face,3.0,,,
MET403,101,APPLIED THERMODYNAMICS II,Face-to-Face,3.0,Friday,18:00:00,19:55:00
MET403,101,APPLIED THERMODYNAMICS II,Face-to-Face,3.0,Friday,20:05:00,22:00:00
MET415,101,AUTOMATIC CONTROL SYSTEMS,Face-to-Face,3.0,Tuesday,18:00:00,22:05:00
MET415,103,AUTOMATIC CONTROL SYSTEMS,Face-to-Face,3.0,Wednesday,18:00:00,22:05:00
MET450,101,MECH DESIGN CAPSTONE PROJECT,Face-to-Face,3.0,Thursday,18:00:00,22:05:00
MET450,103,MECH DESIGN CAPSTONE PROJECT,Face-to-Face,3.0,Wednesday,18:00:00,22:05:00
MET491,349,SPECIAL PROJECTS,Face-to-Face,1.0,,,
MET492,349,SPECIAL PROJECTS,Face-to-Face,2.0,,,
MET493,349,SPECIAL PROJECTS,Face-to-Face,3.0,,,
