Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
ME215,001,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Friday,13:45:00,15:50:00
ME215,001,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Monday,08:30:00,10:35:00
ME215,003,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Monday,11:30:00,13:35:00
ME215,003,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Tuesday,13:00:00,15:05:00
ME215,005,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Thursday,10:45:00,12:50:00
ME215,005,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Thursday,08:30:00,10:35:00
ME215,007,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Tuesday,10:00:00,12:05:00
ME215,007,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Wednesday,10:00:00,12:05:00
ME215,009,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Friday,09:15:00,11:20:00
ME215,009,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Tuesday,10:00:00,12:05:00
ME215,101,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Tuesday,18:00:00,19:55:00
ME215,101,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Tuesday,20:05:00,22:00:00
ME215,103,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Wednesday,18:00:00,19:55:00
ME215,103,ENGR MATERLS & PROCESSES,Face-to-Face,3.0,Wednesday,20:05:00,22:00:00
ME215,HM1,ENGR MATERLS & PROCESSES - HONORS,Face-to-Face,3.0,Monday,11:30:00,13:35:00
ME215,HM1,ENGR MATERLS & PROCESSES - HONORS,Face-to-Face,3.0,Tuesday,13:00:00,15:05:00
ME215,HM3,ENGR MATERLS & PROCESSES - HONORS,Face-to-Face,3.0,Tuesday,10:00:00,12:05:00
ME215,HM3,ENGR MATERLS & PROCESSES - HONORS,Face-to-Face,3.0,Wednesday,10:00:00,12:05:00
ME231,001,KINEMATICS OF MACHINERY,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
ME231,001,KINEMATICS OF MACHINERY,Face-to-Face,3.0,Friday,13:00:00,14:20:00
ME231,003,KINEMATICS OF MACHINERY,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
ME231,003,KINEMATICS OF MACHINERY,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
ME231,101,KINEMATICS OF MACHINERY,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
ME304,001,FLUID MECHANICS,Face-to-Face,3.0,Monday,13:00:00,14:20:00
ME304,001,FLUID MECHANICS,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
ME304,101,FLUID MECHANICS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
ME305,001,INTRO TO SYSTEM DYNAMICS,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
ME305,001,INTRO TO SYSTEM DYNAMICS,Face-to-Face,3.0,Friday,10:00:00,11:20:00
