Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MGMT116,001,QUANTITATIVE ANALYSIS APPL BUS,Face-to-Face,4.0,Monday,13:00:00,14:20:00
MGMT116,001,QUANTITATIVE ANALYSIS APPL BUS,Face-to-Face,4.0,Wednesday,13:00:00,14:20:00
MGMT116,001,QUANTITATIVE ANALYSIS APPL BUS,Face-to-Face,4.0,Thursday,10:00:00,12:05:00
MGMT116,003,QUANTITATIVE ANALYSIS APPL BUS,Face-to-Face,4.0,Monday,12:15:00,14:20:00
MGMT116,003,QUANTITATIVE ANALYSIS APPL BUS,Face-to-Face,4.0,Tuesday,14:30:00,15:50:00
MGMT116,003,QUANTITATIVE ANALYSIS APPL BUS,Face-to-Face,4.0,Thursday,14:30:00,15:50:00
MGMT190,001,INTRODUCTION TO BUSINESS,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
MGMT190,001,INTRODUCTION TO BUSINESS,Face-to-Face,3.0,Friday,10:00:00,11:20:00
MGMT190,003,INTRODUCTION TO BUSINESS,Face-to-Face,3.0,Monday,13:00:00,14:20:00
MGMT190,003,INTRODUCTION TO BUSINESS,Face-to-Face,3.0,Wednesday,13:00:00,14:20:00
MGMT190,005,INTRODUCTION TO BUSINESS,Face-to-Face,3.0,Monday,08:30:00,09:50:00
MGMT190,005,INTRODUCTION TO BUSINESS,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
MGMT190,101,INTRODUCTION TO BUSINESS,Face-to-Face,3.0,Monday,18:00:00,20:50:00
MGMT190,103,INTRODUCTION TO BUSINESS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
MGMT216,001,BUSINESS DATA ANALYTICS,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
MGMT216,001,BUSINESS DATA ANALYTICS,Face-to-Face,3.0,Thursday,08:30:00,09:50:00
MGMT216,003,BUSINESS DATA ANALYTICS,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
MGMT216,003,BUSINESS DATA ANALYTICS,Face-to-Face,3.0,Friday,14:30:00,15:50:00
MGMT216,451,BUSINESS DATA ANALYTICS,Online Virtual,3.0,,,
MGMT216,453,BUSINESS DATA ANALYTICS,Online Newark,3.0,,,
MGMT290,001,BUSINESS LAW I,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
MGMT290,001,BUSINESS LAW I,Face-to-Face,3.0,Friday,10:00:00,11:20:00
MGMT290,003,BUSINESS LAW I,Face-to-Face,3.0,Monday,10:00:00,11:20:00
MGMT290,003,BUSINESS LAW I,Face-to-Face,3.0,Wednesday,10:00:00,11:20:00
MGMT290,451,BUSINESS LAW I,Online Newark,3.0,,,
MGMT290,453,BUSINESS LAW I,Online Newark,3.0,,,
MGMT290,455,BUSINESS LAW I,Online Newark,3.0,,,
MGMT310,887,CO-OP WORK EXPERIENCE I,Face-to-Face,3.0,,,
MGMT316,001,BUSINESS RESEARCH METHODS,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
MGMT316,001,BUSINESS RESEARCH METHODS,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
MGMT316,451,BUSINESS RESEARCH METHODS,Online Newark,3.0,,,
MGMT330,451,REAL ESTATE PRINCIPLES,Online Newark,3.0,,,
MGMT390,001,PRINCIPLES OF BUSINESS,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
