Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MIS245,001,INTRO TO MNGMNT INFO SYST,Face-to-Face,3.0,Tuesday,10:00:00,11:20:00
MIS245,001,INTRO TO MNGMNT INFO SYST,Face-to-Face,3.0,Friday,10:00:00,11:20:00
MIS245,003,INTRO TO MNGMNT INFO SYST,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
MIS245,003,INTRO TO MNGMNT INFO SYST,Face-to-Face,3.0,Friday,14:30:00,15:50:00
MIS245,101,INTRO TO MNGMNT INFO SYST,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
MIS245,451,INTRO TO MNGMNT INFO SYST,Online Newark,3.0,,,
MIS245,453,INTRO TO MNGMNT INFO SYST,Online Virtual,3.0,,,
MIS245,455,INTRO TO MNGMNT INFO SYST,Online Newark,3.0,,,
MIS245,457,INTRO TO MNGMNT INFO SYST,Online Newark,3.0,,,
MIS363,001,PROJCT MNGMNT FOR MANAGERS,Face-to-Face,3.0,Monday,11:30:00,12:50:00
MIS363,001,PROJCT MNGMNT FOR MANAGERS,Face-to-Face,3.0,Wednesday,11:30:00,12:50:00
MIS363,101,PROJCT MNGMNT FOR MANAGERS,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
MIS385,001,DATABASE SYSTEMS FOR MANAGERS,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
MIS385,001,DATABASE SYSTEMS FOR MANAGERS,Face-to-Face,3.0,Friday,16:00:00,17:20:00
MIS385,451,DATABASE SYSTEMS FOR MANAGERS,Online Newark,3.0,,,
MIS385,453,DATABASE SYSTEMS FOR MANAGERS,Online Virtual,3.0,,,
MIS385,455,DATABASE SYSTEMS FOR MANAGERS,Online Newark,3.0,,,
MIS445,101,DEC SUPPRT TOOL & TECH MNGRS,Face-to-Face,3.0,Tuesday,08:30:00,09:50:00
MIS445,101,DEC SUPPRT TOOL & TECH MNGRS,Face-to-Face,3.0,Thursday,08:30:00,09:50:00
MIS445,451,DEC SUPPRT TOOL & TECH MNGRS,Online Newark,3.0,,,
MIS445,453,DEC SUPPRT TOOL & TECH MNGRS,Online Virtual,3.0,,,
MIS645,001,INFO TECH & COMP ADVANTAGE,Hybrid,3.0,Monday,14:30:00,17:20:00
MIS645,101,INFO TECH & COMP ADVANTAGE,Hybrid,3.0,Tuesday,18:00:00,20:50:00
MIS645,851,INFO TECH & COMP ADVANTAGE,Online Virtual,3.0,,,
MIS645,853,INFO TECH & COMP ADVANTAGE,Online Newark,3.0,,,
MIS648,851,DEC SUPPORT SYS FOR MNGRS,Online Virtual,3.0,,,
