Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MNET215,101,MATS. AND PROCESSES FOR TECH.,Face-to-Face,3.0,Thursday,18:00:00,22:05:00
MNET215,103,MATS. AND PROCESSES FOR TECH.,Face-to-Face,3.0,Friday,18:00:00,22:05:00
MNET300,001,CONCEPTS IN MACHINING,Face-to-Face,3.0,Monday,08:30:00,10:35:00
MNET300,001,CONCEPTS IN MACHINING,Face-to-Face,3.0,Wednesday,08:30:00,10:35:00
MNET303,101,ADV TECH IN CAD/CAM,Face-to-Face,3.0,Monday,18:00:00,22:05:00
MNET315,001,INDUSTRIAL STATISTICS,Face-to-Face,3.0,Thursday,08:30:00,10:35:00
MNET315,001,INDUSTRIAL STATISTICS,Face-to-Face,3.0,Tuesday,08:30:00,10:35:00
MNET315,101,INDUSTRIAL STATISTICS,Face-to-Face,3.0,Tuesday,18:00:00,22:05:00
MNET414,001,INDUSTRIAL COST ANALYSIS,Face-to-Face,3.0,Tuesday,14:30:00,15:50:00
MNET414,001,INDUSTRIAL COST ANALYSIS,Face-to-Face,3.0,Thursday,14:30:00,15:50:00
MNET414,101,INDUSTRIAL COST ANALYSIS,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
MNET414,103,INDUSTRIAL COST ANALYSIS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
MNET414,105,INDUSTRIAL COST ANALYSIS,Face-to-Face,3.0,Friday,18:00:00,20:50:00
MNET420,101,QUALITY SYSTEMS,Face-to-Face,3.0,Monday,18:00:00,22:05:00
MNET491,349,SPECIAL PROJECTS,,1.0,,,
MNET492,349,SPECIAL PROJECTS,,2.0,,,
MNET493,349,SPECIAL PROJECTS,,3.0,,,
MNET495,349,COOPERATIVE EXPERIEN II,Face-to-Face,3.0,,,
