Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MRKT330,001,PRINCIPLES OF MARKETING,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
MRKT330,001,PRINCIPLES OF MARKETING,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
MRKT330,101,PRINCIPLES OF MARKETING,Face-to-Face,3.0,Monday,18:00:00,20:50:00
MRKT330,451,PRINCIPLES OF MARKETING,Online Newark,3.0,,,
MRKT330,453,PRINCIPLES OF MARKETING,Online Newark,3.0,,,
MRKT330,455,PRINCIPLES OF MARKETING,Online Newark,3.0,,,
MRKT330,457,PRINCIPLES OF MARKETING,Online Newark,3.0,,,
MRKT330,HM1,PRINCIPLES OF MARKETING - HONORS,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
MRKT330,HM1,PRINCIPLES OF MARKETING - HONORS,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
MRKT331,451,CUSTOMER INSIGHTS,Online Newark,3.0,,,
MRKT339,101,SELLING,Face-to-Face,3.0,Tuesday,18:00:00,20:50:00
MRKT360,001,DIGITAL MARKETING,Face-to-Face,3.0,Monday,08:30:00,09:50:00
MRKT360,001,DIGITAL MARKETING,Face-to-Face,3.0,Wednesday,08:30:00,09:50:00
MRKT378,101,MARKETING ANALYTICS,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
MRKT470,001,DATA-DRIVEN MKTG DEC MAKING,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
MRKT470,001,DATA-DRIVEN MKTG DEC MAKING,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
MRKT620,851,GLOBAL MARKETING MANAGEMENT,Online Virtual,3.0,,,
MRKT632,101,STRATEGIC MRKT MANAGEMENT,Hybrid,3.0,Tuesday,18:00:00,20:50:00
MRKT632,851,STRATEGIC MRKT MANAGEMENT,Online Newark,3.0,,,
MRKT632,853,STRATEGIC MRKT MANAGEMENT,Online Virtual,3.0,,,
MRKT632,855,STRATEGIC MRKT MANAGEMENT,Online Virtual,3.0,,,
MRKT636,851,DES/DEV HIGH TECH PROD,Online Virtual,3.0,,,
MRKT725,937,INDEPENDENT STUDY,Face-to-Face,3.0,,,
