Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MTEN201,001,INTRO PRINC OF MATERIAL ENGR,Face-to-Face,3.0,Monday,10:00:00,11:20:00
MTEN201,001,INTRO PRINC OF MATERIAL ENGR,Face-to-Face,3.0,Friday,10:00:00,11:20:00
MTEN201,003,INTRO PRINC OF MATERIAL ENGR,Face-to-Face,3.0,Monday,10:00:00,11:20:00
MTEN201,003,INTRO PRINC OF MATERIAL ENGR,Face-to-Face,3.0,Friday,10:00:00,11:20:00
MTEN201,HM1,INTRO PRINC OF MATERIAL ENGR- HONORS,Face-to-Face,3.0,Monday,10:00:00,11:20:00
MTEN201,HM1,INTRO PRINC OF MATERIAL ENGR- HONORS,Face-to-Face,3.0,Friday,10:00:00,11:20:00
MTEN301,001,THERMODYNAMICS OF MATERIALS,Face-to-Face,3.0,Tuesday,16:00:00,17:20:00
MTEN301,001,THERMODYNAMICS OF MATERIALS,Face-to-Face,3.0,Thursday,16:00:00,17:20:00
MTEN305,001,MATERIALS CHARACT METHODS,Face-to-Face,4.0,Friday,13:00:00,15:05:00
MTEN305,001,MATERIALS CHARACT METHODS,Face-to-Face,4.0,Wednesday,11:30:00,14:20:00
MTEN309,001,EOMT PROP. MATER.,Face-to-Face,4.0,Monday,13:00:00,15:05:00
MTEN309,001,EOMT PROP. MATER.,Face-to-Face,4.0,Tuesday,10:00:00,11:20:00
MTEN309,001,EOMT PROP. MATER.,Face-to-Face,4.0,Thursday,10:00:00,11:20:00
MTEN410,101,SOFT MATERIALS,Face-to-Face,3.0,Wednesday,18:00:00,20:50:00
MTEN449,001,MATER. DESIGN I,Face-to-Face,4.0,Friday,13:00:00,17:20:00
MTEN449,001,MATER. DESIGN I,Face-to-Face,4.0,Tuesday,13:00:00,15:05:00
MTEN491,061,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,071,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,079,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,080,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,081,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,082,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,083,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,085,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,086,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,087,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,088,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,089,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,090,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,091,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,093,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,102,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,103,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,111,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,114,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,119,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,145,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,148,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,158,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,182,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,198,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,210,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,212,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,214,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,217,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,445,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,486,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN491,487,RESEARCH & INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN492,061,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,071,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,079,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,080,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,081,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,082,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,083,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,085,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,086,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,087,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,088,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,089,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,090,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,091,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,093,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,102,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,103,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,111,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,114,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,119,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,145,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,158,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,198,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,210,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,212,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,214,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,217,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,445,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,486,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN492,487,RESRCH AND INDPENDENT STUDY II,Face-to-Face,3.0,,,
MTEN610,101,FOUND OF MATERIALS SCI & ENGR,Face-to-Face,3.0,Thursday,18:00:00,20:50:00
MTEN631,851,DATA SCIENCE FOR CME,Online Virtual,3.0,,,
MTEN700B,061,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,071,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,079,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,080,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,081,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,082,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,083,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,085,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,087,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,088,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,089,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,090,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,091,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,093,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,103,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,111,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,114,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,119,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,145,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,158,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,198,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,210,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,212,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,214,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,217,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,445,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,486,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN700B,487,MASTER'S PROJECT,Face-to-Face,3.0,,,
MTEN701B,061,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,071,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,079,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,080,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,081,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,082,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,083,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,085,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,087,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,088,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,089,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,090,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,091,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,093,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,103,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,111,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,114,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,119,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,145,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,158,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,198,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,210,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,212,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,214,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,217,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,445,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,486,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN701B,487,MASTERS THESIS,Face-to-Face,3.0,,,
MTEN725,061,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,071,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,079,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,080,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,081,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,082,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,083,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,085,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,087,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,088,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,089,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,090,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,091,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,093,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,103,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
MTEN725,111,INDEPENDENT STUDY I,Face-to-Face,3.0,,,
